# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 399 400 399
10000 399 399 400 398
15000 399 399 399 398
20000 400 399 399 398
25000 400 399 399 397
30000 399 400 399 397
35000 398 400 399 396
40000 398 400 398 397
45000 398 400 397 396
50000 397 400 398 396
55000 397 400 399 396
60000 397 400 400 396
65000 397 400 399 395
70000 396 400 398 395
75000 396 400 398 394
80000 396 400 399 395
85000 394 400 397 395
90000 395 400 398 395
95000 396 400 398 396
100000 396 400 399 396
105000 397 400 400 395
110000 397 400 399 394
115000 396 399 396 395
120000 396 399 396 394
125000 396 399 397 395
130000 396 399 394 395
135000 397 398 394 395
140000 396 398 394 395
145000 396 399 393 395
150000 396 398 393 395
155000 396 398 394 395
160000 396 398 394 396
165000 396 398 395 395
170000 396 399 394 395
175000 395 399 397 396
180000 395 398 396 397
185000 395 399 394 397
190000 395 398 394 397
195000 395 399 394 397
200000 395 398 394 397
205000 395 398 395 397
210000 395 398 394 397
215000 395 397 395 397
220000 396 397 394 397
225000 395 398 394 395
230000 396 398 394 394
235000 396 397 396 395
240000 396 397 395 396
245000 395 397 395 396
250000 394 398 394 396
255000 393 397 393 395
260000 395 397 394 394
265000 394 397 394 394
270000 394 397 393 394
275000 393 397 393 394
280000 393 397 393 395
285000 393 398 393 395
290000 391 396 394 395
295000 393 396 393 395
300000 392 395 392 395
305000 388 396 394 395
310000 389 396 393 395
315000 389 397 393 395
320000 388 397 393 395
325000 389 397 393 394
330000 389 398 393 394
335000 390 397 393 394
340000 389 397 393 394
345000 389 396 393 394
350000 389 395 392 394
355000 392 396 392 394
360000 391 396 392 394
365000 393 396 391 395
370000 392 396 390 394
375000 392 396 390 395
380000 393 397 391 395
385000 393 396 391 394
390000 394 397 391 395
395000 392 397 393 395
400000 391 397 392 395
405000 390 397 394 396
410000 390 397 394 396
415000 390 397 394 396
420000 390 396 394 396
425000 389 397 394 396
430000 390 397 394 396
435000 389 397 393 396
440000 391 397 394 396
445000 390 397 394 396
450000 391 397 394 395
455000 389 397 394 395
460000 389 397 393 394
465000 390 397 393 394
470000 389 397 393 393
475000 389 397 393 393
480000 389 397 393 393
485000 390 397 392 394
490000 390 396 392 394
495000 389 396 391 393
500000 389 396 392 393
505000 389 396 392 393
510000 389 396 392 393
515000 389 396 392 393
520000 388 397 390 393
525000 389 397 391 393
530000 388 397 391 393
535000 385 396 392 394
540000 386 395 391 394
545000 388 395 392 394
550000 387 395 392 395
555000 388 396 392 395
560000 389 396 391 395
565000 389 396 391 393
570000 388 395 391 393
575000 388 397 391 393
580000 388 397 392 393
585000 388 396 392 392
590000 388 397 392 392
595000 389 396 390 393
600000 389 397 390 393
605000 389 397 392 393
610000 390 397 390 393
615000 390 397 393 393
620000 390 396 391 392
625000 391 396 391 392
630000 390 397 391 392
635000 391 398 391 393
640000 390 397 389 393
645000 390 397 391 393
650000 389 396 390 393
655000 388 396 389 394
660000 389 394 391 394
665000 388 394 390 394
670000 388 394 390 393
675000 389 396 390 394
680000 387 395 388 394
685000 387 396 388 394
690000 387 396 389 393
695000 387 396 387 393
700000 388 396 388 394
705000 389 396 388 393
710000 387 396 388 393
715000 388 396 388 393
720000 386 396 388 393
725000 385 396 388 393
730000 385 395 388 393
735000 386 395 389 393
740000 388 395 388 393
745000 387 396 389 393
750000 386 394 389 393
755000 387 395 388 393
760000 387 395 388 392
765000 388 395 389 393
770000 387 394 389 393
775000 387 394 389 393
780000 387 394 389 394
785000 387 393 388 394
790000 388 394 389 395
795000 387 394 389 395
800000 387 393 389 395
