# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 399 399 398
10000 399 399 399 400
15000 399 399 399 400
20000 399 400 397 398
25000 400 400 397 400
30000 400 400 397 399
35000 399 400 397 399
40000 399 400 396 399
45000 399 400 397 398
50000 400 400 396 398
55000 399 400 396 398
60000 399 400 397 398
65000 399 400 398 398
70000 398 400 398 396
75000 398 399 399 397
80000 398 399 399 396
85000 398 399 399 396
90000 398 400 399 396
95000 399 399 399 396
100000 399 398 399 396
105000 399 397 398 396
110000 399 397 399 396
115000 398 398 398 396
120000 399 398 398 396
125000 399 398 398 396
130000 399 398 398 397
135000 399 398 398 397
140000 399 398 397 396
145000 399 397 396 396
150000 399 398 396 398
155000 399 398 395 398
160000 399 397 395 398
165000 399 397 395 397
170000 399 397 395 397
175000 399 397 396 397
180000 399 397 397 396
185000 399 396 396 397
190000 398 396 396 396
195000 399 397 396 395
200000 398 397 396 396
205000 399 397 396 395
210000 399 398 396 395
215000 399 398 396 393
220000 398 397 396 393
225000 398 397 395 394
230000 397 398 395 394
235000 397 398 394 394
240000 396 398 395 394
245000 395 398 395 392
250000 395 398 395 392
255000 395 398 395 393
260000 395 398 395 394
265000 395 398 395 394
270000 395 398 395 394
275000 395 397 395 394
280000 395 397 395 394
285000 395 397 395 394
290000 395 397 395 392
295000 395 396 395 394
300000 395 396 395 394
305000 395 397 396 395
310000 396 396 395 391
315000 395 396 394 393
320000 395 396 396 393
325000 395 396 395 394
330000 395 397 396 392
335000 395 396 396 391
340000 395 397 396 391
345000 395 397 395 391
350000 394 397 396 391
355000 394 397 395 390
360000 394 397 395 390
365000 394 397 395 390
370000 392 397 394 391
375000 393 397 396 391
380000 392 397 396 391
385000 393 397 396 391
390000 393 397 396 390
395000 393 398 396 391
400000 393 397 396 391
405000 393 397 395 390
410000 394 398 395 388
415000 394 397 395 389
420000 395 397 396 388
425000 394 398 395 389
430000 394 398 396 387
435000 394 397 396 387
440000 395 397 397 387
445000 395 397 397 387
450000 396 397 397 386
455000 395 397 397 387
460000 396 397 397 388
465000 396 396 397 386
470000 395 397 397 388
475000 395 397 396 387
480000 394 397 396 388
485000 393 397 396 389
490000 392 397 395 389
495000 393 397 395 388
500000 393 397 396 389
505000 394 397 396 389
510000 393 397 394 388
515000 394 396 393 389
520000 394 396 395 389
525000 394 396 396 388
530000 394 396 396 388
535000 394 396 395 388
540000 394 396 395 387
545000 395 396 394 388
550000 394 396 394 387
555000 394 396 394 388
560000 394 397 394 389
565000 393 397 393 390
570000 393 397 394 388
575000 393 397 396 387
580000 393 398 395 387
585000 393 398 395 388
590000 394 398 395 389
595000 394 398 395 389
600000 394 398 395 389
605000 392 398 396 388
610000 392 397 396 388
615000 393 398 397 388
620000 393 398 396 388
625000 393 398 396 388
630000 392 396 393 388
635000 392 396 394 388
640000 391 397 394 388
645000 391 397 393 389
650000 391 397 393 389
655000 391 397 394 389
660000 393 397 394 389
665000 394 397 394 389
670000 393 396 394 389
675000 394 396 394 389
680000 393 396 395 389
685000 393 397 395 389
690000 393 396 395 388
695000 392 397 395 388
700000 392 397 395 388
705000 392 397 394 388
710000 392 397 395 386
715000 392 397 394 385
720000 392 397 394 385
725000 393 397 395 385
730000 393 397 395 385
735000 392 397 395 384
740000 392 398 395 384
745000 393 397 395 384
750000 393 396 395 384
755000 392 395 394 385
760000 393 396 394 385
765000 392 397 395 386
770000 392 398 395 387
775000 392 397 395 385
780000 393 398 395 387
785000 393 398 394 387
790000 393 397 395 387
795000 393 397 394 386
800000 393 397 394 387
