# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 398 399 400
10000 398 398 398 400
15000 398 398 398 400
20000 398 399 398 400
25000 396 399 398 399
30000 397 398 398 399
35000 397 397 398 399
40000 394 396 398 398
45000 397 395 398 398
50000 397 394 396 398
55000 398 394 396 396
60000 397 395 395 396
65000 397 394 395 396
70000 397 394 395 397
75000 397 394 394 396
80000 397 395 394 396
85000 397 396 393 396
90000 397 395 393 395
95000 397 395 393 395
100000 396 397 394 395
105000 395 398 394 395
110000 396 397 393 396
115000 395 396 393 396
120000 395 397 394 395
125000 395 397 394 395
130000 395 397 395 394
135000 395 395 395 394
140000 393 395 395 394
145000 393 395 395 395
150000 393 394 395 395
155000 392 395 396 395
160000 392 396 395 394
165000 393 396 395 395
170000 393 396 396 395
175000 393 397 395 395
180000 394 397 393 395
185000 394 397 396 395
190000 392 397 396 394
195000 392 395 395 394
200000 392 396 394 396
205000 392 396 393 395
210000 392 394 393 395
215000 392 395 391 397
220000 392 393 392 397
225000 392 394 391 397
230000 392 393 392 396
235000 393 395 391 398
240000 392 397 390 397
245000 392 396 391 396
250000 393 394 392 395
255000 392 394 393 395
260000 394 395 393 394
265000 393 394 395 395
270000 395 395 396 396
275000 394 394 396 394
280000 394 394 395 396
285000 394 395 394 396
290000 394 396 395 396
295000 395 393 393 396
300000 395 394 393 396
305000 394 395 393 397
310000 392 394 393 397
315000 392 394 393 397
320000 394 394 393 396
325000 393 395 393 397
330000 393 395 393 397
335000 393 396 394 396
340000 394 397 393 396
345000 393 396 393 396
350000 393 396 394 395
355000 393 396 394 396
360000 393 397 394 396
365000 391 397 394 395
370000 390 397 393 395
375000 391 397 393 395
380000 391 397 393 396
385000 392 397 393 396
390000 391 396 393 396
395000 391 397 394 396
400000 390 395 394 396
405000 392 395 394 396
410000 392 396 394 396
415000 393 396 394 396
420000 393 395 393 396
425000 393 395 393 396
430000 392 396 392 396
435000 392 396 391 395
440000 392 396 391 395
445000 393 396 391 395
450000 392 396 391 396
455000 391 396 391 395
460000 392 397 392 395
465000 393 394 392 395
470000 392 394 392 394
475000 393 395 392 394
480000 392 396 391 394
485000 392 396 391 394
490000 393 395 393 394
495000 394 397 392 395
500000 394 396 393 396
505000 394 395 393 395
510000 394 396 393 395
515000 394 395 391 394
520000 394 395 392 394
525000 393 394 393 393
530000 393 395 392 394
535000 393 395 393 394
540000 393 395 392 395
545000 393 394 391 396
550000 393 396 392 395
555000 393 394 391 396
560000 393 392 391 395
565000 393 394 390 395
570000 393 394 390 394
575000 393 394 389 395
580000 393 394 390 395
585000 393 394 390 395
590000 393 394 390 394
595000 393 394 391 394
