# Time-averaged data for fix ave_n
# TimeStep v_nhl v_nal v_nhr v_nar
10000 383 396 392 397
20000 383 396 392 397
30000 383 396 392 397
40000 383 396 392 397
50000 383 396 392 397
60000 383 396 392 397
70000 383 396 392 397
80000 383 396 392 397
90000 383 396 392 397
100000 383 396 392 397
110000 383 396 392 397
120000 383 396 392 397
130000 383 396 392 397
140000 383 396 392 397
150000 383 396 392 397
160000 383 396 392 397
170000 383 396 392 397
180000 383 396 392 397
190000 382 396 392 397
200000 382 396 392 397
