# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 400 400 400
10000 399 399 398 399
15000 398 397 400 399
20000 398 400 400 398
25000 398 400 399 398
30000 398 398 399 398
35000 397 398 399 398
40000 396 398 398 399
45000 398 397 398 398
50000 397 397 398 398
55000 397 398 397 398
60000 397 398 397 398
65000 398 396 396 398
70000 397 395 396 397
75000 397 395 397 398
80000 397 396 397 398
85000 396 396 397 398
90000 397 396 397 397
95000 396 396 396 397
100000 397 396 398 398
105000 397 396 398 397
110000 396 396 398 396
115000 396 396 398 396
120000 396 397 398 396
125000 395 396 397 397
130000 395 397 398 397
135000 395 396 397 397
140000 395 397 398 397
145000 395 397 398 397
150000 395 397 398 397
155000 395 397 397 397
160000 396 397 396 398
165000 395 397 396 398
170000 394 397 396 398
175000 395 397 397 398
180000 395 397 397 398
185000 395 397 397 398
190000 396 397 397 398
195000 396 396 397 398
200000 395 397 397 398
205000 395 398 396 398
210000 394 398 396 398
215000 395 397 396 399
220000 394 398 395 398
225000 393 397 395 398
230000 393 397 395 398
235000 391 397 395 398
240000 393 397 394 398
245000 393 397 395 398
250000 393 397 394 398
255000 394 397 394 398
260000 394 397 395 398
265000 393 397 394 398
270000 392 397 391 398
275000 391 397 392 397
280000 394 397 391 398
285000 392 397 390 397
290000 393 397 391 397
295000 392 397 392 397
300000 392 397 390 398
305000 390 395 392 398
310000 391 396 392 396
315000 390 396 392 396
320000 390 396 392 397
325000 391 395 392 397
330000 390 395 392 396
335000 390 395 391 396
340000 390 394 392 396
345000 391 395 392 396
350000 392 397 391 396
355000 392 397 391 396
360000 393 396 392 396
365000 393 397 391 396
370000 393 396 392 396
375000 393 396 392 396
380000 393 396 392 396
385000 392 396 391 396
390000 392 396 391 396
395000 393 398 392 394
400000 393 397 392 394
405000 393 397 391 395
410000 393 397 391 396
415000 393 397 391 396
420000 393 397 391 395
425000 393 397 391 395
430000 394 398 391 394
435000 394 397 391 394
440000 394 396 391 394
445000 392 396 392 394
450000 392 396 391 394
455000 392 396 391 395
460000 393 397 390 393
465000 392 397 390 393
470000 392 396 389 394
475000 393 395 389 392
480000 393 395 388 391
485000 392 395 389 394
490000 393 395 391 393
495000 392 395 389 394
500000 392 395 390 394
505000 394 395 388 393
510000 393 395 389 392
515000 394 397 388 391
520000 393 396 389 392
525000 392 396 388 392
530000 393 396 388 392
535000 393 396 388 391
540000 393 396 389 393
545000 393 398 389 392
550000 393 397 388 391
555000 393 397 388 391
560000 393 396 389 390
565000 393 396 389 390
570000 394 396 388 391
575000 394 396 390 390
580000 394 396 387 391
585000 392 396 388 391
590000 392 396 388 389
595000 390 396 389 391
600000 394 396 388 391
605000 393 397 387 391
610000 394 395 386 391
615000 393 396 388 393
620000 393 395 387 393
625000 392 395 387 392
630000 394 395 387 393
635000 394 395 388 392
640000 394 395 386 392
645000 394 395 388 391
650000 394 395 386 391
655000 392 394 383 391
660000 393 394 383 391
665000 394 394 384 390
670000 394 394 384 392
675000 394 392 385 391
680000 393 392 384 391
685000 394 394 385 391
690000 392 394 385 391
695000 393 395 387 391
700000 392 395 387 391
705000 392 394 386 391
710000 390 394 386 391
715000 390 393 386 392
720000 389 393 387 391
725000 391 392 385 391
730000 390 394 386 391
735000 389 394 388 391
740000 389 394 387 390
745000 390 394 387 391
750000 392 394 383 389
755000 392 394 385 389
760000 391 393 383 389
765000 392 392 385 390
770000 392 393 383 392
775000 392 392 384 391
780000 391 393 382 391
785000 390 393 383 391
790000 391 393 383 391
795000 391 393 382 391
800000 390 392 383 391
