# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 396 399 400 398
10000 398 400 400 398
15000 394 400 400 398
20000 395 399 400 398
25000 393 399 396 398
30000 393 399 398 398
35000 392 399 396 396
40000 393 399 396 396
45000 392 399 396 396
50000 394 397 396 396
55000 393 399 396 394
60000 394 397 395 395
65000 394 396 395 395
70000 395 397 396 394
75000 392 398 397 394
80000 392 398 397 393
85000 392 398 397 393
90000 392 398 397 392
95000 393 398 394 392
100000 393 396 394 392
105000 392 396 394 393
110000 391 396 394 393
115000 391 396 394 393
120000 392 397 393 391
125000 391 396 393 392
130000 390 397 392 393
135000 393 394 393 391
140000 392 397 392 392
145000 391 396 392 392
150000 391 396 394 391
155000 391 394 393 390
160000 391 394 393 391
165000 393 394 393 391
170000 392 396 394 393
175000 393 397 393 391
180000 393 395 393 393
185000 393 396 393 393
190000 394 395 393 392
195000 393 395 394 392
200000 395 395 393 393
205000 395 395 394 392
210000 394 395 394 391
215000 393 395 394 391
220000 393 395 393 391
225000 394 395 393 391
230000 392 394 393 392
235000 393 394 394 392
240000 391 397 393 393
245000 391 397 393 390
250000 391 397 393 390
255000 390 396 395 391
260000 390 396 393 391
265000 390 395 393 391
270000 390 396 393 391
275000 389 396 393 391
280000 390 396 394 392
285000 391 396 392 391
290000 390 396 393 390
295000 390 396 392 389
300000 389 396 391 389
305000 389 396 391 388
310000 390 396 391 389
315000 389 396 391 389
320000 391 396 392 388
325000 390 396 392 388
330000 390 395 392 389
335000 392 395 392 389
340000 392 395 391 389
345000 391 395 392 389
350000 389 395 392 388
355000 389 396 392 388
360000 389 396 393 389
365000 390 394 393 389
370000 391 395 392 389
375000 389 395 392 390
380000 390 394 393 390
385000 389 393 393 390
390000 388 394 393 390
395000 386 394 393 388
400000 387 394 390 389
405000 387 394 390 389
410000 386 394 390 388
415000 388 393 389 388
420000 388 393 389 389
425000 388 393 389 388
430000 390 393 390 388
435000 389 394 389 389
440000 390 394 392 390
445000 387 393 391 389
450000 389 394 390 389
455000 386 394 392 388
460000 387 393 393 389
465000 384 394 392 390
470000 385 394 392 390
475000 386 394 390 390
480000 388 394 391 390
485000 387 394 391 389
490000 386 395 390 390
495000 387 395 389 391
500000 386 394 391 390
505000 386 394 390 390
510000 386 393 389 390
515000 384 393 391 389
520000 384 394 390 389
525000 385 394 389 390
530000 387 394 389 390
535000 387 393 388 390
540000 387 393 388 390
545000 387 394 389 390
550000 387 394 389 388
555000 387 393 389 389
560000 386 393 389 389
565000 386 393 388 388
570000 386 393 388 389
575000 385 393 389 390
580000 388 392 389 390
585000 388 392 390 390
590000 387 392 391 391
595000 386 392 391 389
600000 386 392 390 389
605000 387 392 391 388
610000 386 392 390 388
615000 385 392 390 389
620000 386 392 389 388
625000 387 392 389 388
630000 385 392 390 386
635000 387 392 391 386
640000 386 392 390 386
645000 387 392 389 386
650000 384 392 388 387
655000 385 393 389 386
660000 385 393 389 385
665000 384 393 390 387
670000 384 393 390 386
675000 385 393 389 387
680000 385 393 389 387
685000 385 393 390 388
690000 383 393 391 388
695000 383 393 390 388
700000 384 394 389 389
705000 384 393 390 390
710000 383 393 390 390
715000 384 393 390 390
720000 385 393 388 389
725000 383 393 389 389
730000 384 394 390 388
735000 384 393 390 388
740000 385 393 390 387
745000 385 393 388 387
750000 385 393 390 388
755000 385 393 391 388
760000 385 393 391 387
765000 384 393 392 387
770000 384 393 390 388
775000 384 393 391 387
780000 384 393 391 387
785000 384 393 390 387
790000 384 393 390 388
795000 384 394 391 388
800000 384 394 391 386
