# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 398 400 400
10000 400 397 400 400
15000 400 398 399 399
20000 400 399 399 398
25000 399 399 398 399
30000 398 399 398 399
35000 398 398 399 399
40000 399 398 398 399
45000 398 397 398 399
50000 398 396 398 399
55000 398 397 398 399
60000 398 397 398 399
65000 399 396 398 399
70000 399 396 398 399
75000 399 397 399 400
80000 398 397 399 399
85000 397 397 399 400
90000 397 397 399 399
95000 397 396 399 399
100000 397 396 399 399
105000 397 396 399 399
110000 396 396 399 399
115000 396 396 399 399
120000 395 395 399 399
125000 396 395 399 399
130000 396 395 399 399
135000 395 396 399 399
140000 395 396 399 399
145000 393 395 399 399
150000 392 396 399 399
155000 393 396 398 399
160000 394 398 399 399
165000 395 398 399 399
170000 394 398 399 399
175000 394 396 399 398
180000 394 396 398 398
185000 394 396 398 398
190000 394 396 398 399
195000 394 396 398 398
200000 393 395 398 398
205000 393 397 398 398
210000 393 395 397 398
215000 392 394 397 398
220000 393 395 397 398
225000 393 394 397 398
230000 393 393 397 398
235000 392 394 397 398
240000 391 393 398 398
245000 393 393 397 398
250000 392 392 397 397
255000 392 391 396 396
260000 392 392 396 396
265000 392 392 396 396
270000 392 392 396 396
275000 392 392 396 396
280000 392 392 396 396
285000 392 393 396 396
290000 392 392 395 396
295000 392 392 395 396
300000 393 393 395 396
305000 393 393 395 396
310000 392 393 395 396
315000 391 394 395 396
320000 391 394 395 396
325000 392 394 395 396
330000 391 394 395 396
335000 391 393 395 396
340000 391 392 395 396
345000 391 393 395 396
350000 391 393 395 396
355000 392 393 395 396
360000 390 393 395 396
365000 390 393 395 396
370000 390 393 395 396
375000 391 393 395 396
380000 391 393 395 396
385000 389 392 395 396
390000 389 392 395 397
395000 391 392 394 396
400000 393 391 392 395
405000 391 392 394 396
410000 391 393 394 397
415000 390 392 394 396
420000 391 392 395 396
425000 391 392 394 396
430000 389 392 394 396
435000 391 391 394 396
440000 391 392 394 396
445000 391 392 394 396
450000 392 392 394 396
455000 393 392 394 396
460000 390 393 394 396
465000 390 392 394 396
470000 389 392 394 396
475000 390 391 394 395
480000 389 391 393 394
485000 391 392 393 395
490000 390 391 394 396
495000 391 389 394 394
500000 390 390 394 395
505000 391 389 394 395
510000 391 389 394 394
515000 392 389 395 394
520000 391 389 394 395
525000 392 390 394 395
530000 391 390 394 394
535000 391 390 393 393
540000 389 390 393 393
545000 389 390 393 395
550000 389 390 395 395
555000 390 391 393 394
560000 390 388 393 395
565000 390 389 395 393
570000 390 390 394 393
575000 390 388 395 393
580000 391 388 395 393
585000 391 389 394 393
590000 391 389 394 393
595000 391 390 394 393
600000 390 389 394 393
605000 390 389 394 394
610000 392 389 394 394
615000 392 389 394 393
620000 392 389 394 393
625000 391 390 394 393
630000 390 389 394 393
635000 390 390 394 392
640000 391 390 394 392
645000 391 390 394 393
650000 391 389 395 392
655000 391 390 395 391
660000 390 389 394 392
665000 390 390 392 392
670000 390 390 392 392
675000 391 390 392 392
680000 391 390 393 391
685000 390 389 393 392
690000 390 390 393 392
695000 390 390 392 391
700000 390 390 391 392
705000 389 391 391 393
710000 390 390 391 392
715000 391 389 391 391
720000 390 392 390 392
725000 390 391 392 393
730000 391 389 391 393
735000 391 391 391 393
740000 391 391 391 393
745000 389 392 390 393
750000 390 391 389 392
755000 388 391 390 393
760000 389 390 390 393
765000 389 391 390 393
770000 389 389 390 393
775000 389 389 390 393
780000 388 390 390 391
785000 389 389 390 391
790000 389 390 390 392
795000 389 390 390 392
800000 389 390 390 392
805000 388 389 390 391
810000 389 389 389 391
815000 389 389 390 392
820000 389 388 390 392
825000 389 389 390 393
830000 389 389 390 393
835000 389 388 390 392
840000 388 390 390 393
845000 388 390 390 393
850000 388 390 391 391
855000 388 390 391 392
860000 388 389 391 392
865000 388 389 391 392
870000 387 390 390 392
875000 388 389 389 392
880000 387 389 390 392
885000 388 389 390 392
890000 388 386 390 392
895000 388 387 390 392
900000 388 387 390 392
905000 388 386 390 392
910000 389 388 389 391
915000 389 387 389 392
920000 389 387 389 392
925000 389 387 389 391
930000 389 388 389 392
935000 390 389 389 391
940000 390 390 389 391
945000 389 391 389 391
950000 389 391 387 391
955000 389 390 387 392
960000 389 391 388 390
965000 388 392 388 390
970000 387 391 388 389
975000 388 389 389 389
980000 389 391 388 390
985000 390 390 388 390
990000 390 389 388 389
995000 390 391 389 388
1000000 391 389 389 388
1005000 390 389 389 387
1010000 391 390 389 389
1015000 389 390 389 388
1020000 389 389 389 388
1025000 389 388 388 388
1030000 390 388 388 388
1035000 389 389 388 388
1040000 389 389 388 388
1045000 389 389 388 388
1050000 389 388 388 388
1055000 389 389 388 389
1060000 389 388 388 389
1065000 389 387 388 389
1070000 390 386 388 389
1075000 389 387 388 389
1080000 389 388 388 389
1085000 390 388 388 389
