# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 399 398 399
10000 399 399 398 397
15000 398 398 397 398
20000 398 398 398 397
25000 398 399 398 397
30000 398 399 395 396
35000 398 399 396 397
40000 398 398 395 396
45000 398 398 396 396
50000 399 397 395 395
55000 399 398 395 396
60000 398 397 395 397
65000 398 396 395 396
70000 399 398 394 396
75000 398 397 395 396
80000 398 397 394 397
85000 398 398 395 396
90000 397 398 394 397
95000 397 398 395 396
100000 396 398 396 397
105000 396 397 395 397
110000 397 397 392 398
115000 397 397 394 396
120000 397 397 393 395
125000 397 397 394 394
130000 396 396 394 394
135000 397 396 395 394
140000 397 396 393 393
145000 397 397 394 392
150000 397 397 394 393
155000 397 397 394 393
160000 398 396 394 393
165000 397 396 393 393
170000 397 396 393 393
175000 397 396 394 393
180000 397 397 392 393
185000 397 396 392 393
190000 396 396 392 394
195000 397 396 393 393
200000 397 396 393 393
205000 397 396 394 393
210000 397 396 394 394
215000 397 396 394 394
220000 397 396 394 394
225000 397 396 393 394
230000 396 396 393 394
235000 395 395 393 395
240000 394 394 393 395
245000 396 394 392 395
250000 395 396 392 395
255000 396 396 392 393
260000 395 396 392 393
265000 396 396 391 394
270000 396 396 391 394
275000 395 394 390 393
280000 395 394 391 392
285000 394 396 390 392
290000 396 396 390 392
295000 395 396 390 392
300000 395 396 390 393
305000 393 395 391 393
310000 393 397 390 392
315000 395 398 390 392
320000 391 395 390 392
325000 394 395 390 392
330000 394 396 390 391
335000 391 395 390 391
340000 392 395 390 391
345000 393 395 390 392
350000 394 395 390 391
355000 395 395 390 391
360000 393 395 390 392
365000 394 395 391 391
370000 393 395 392 391
375000 392 395 392 391
380000 393 394 391 391
385000 393 395 390 391
390000 394 395 390 392
395000 393 394 390 391
400000 393 395 389 392
405000 392 394 390 392
410000 395 394 390 392
415000 393 395 390 391
420000 393 395 390 391
425000 392 395 391 392
430000 392 395 391 392
435000 393 395 391 392
440000 390 394 391 392
445000 393 394 391 392
450000 392 394 391 392
455000 393 394 391 392
460000 392 395 390 392
465000 395 396 391 392
470000 394 395 392 392
475000 392 394 392 392
480000 393 393 392 392
485000 393 393 392 391
490000 395 393 392 391
495000 395 394 391 392
500000 394 394 391 392
505000 395 393 391 391
510000 395 393 391 390
515000 395 393 392 390
520000 395 392 393 390
525000 395 393 392 390
530000 395 393 391 390
535000 395 393 390 391
540000 395 394 392 392
545000 396 392 391 392
550000 395 392 390 392
555000 395 392 390 392
560000 395 394 390 392
565000 395 394 389 392
570000 395 395 390 391
575000 395 395 391 392
580000 395 395 391 391
585000 395 395 390 392
590000 395 395 390 391
595000 395 395 391 391
600000 394 396 391 391
605000 394 395 391 392
610000 394 396 391 392
615000 394 396 388 392
620000 394 395 388 391
625000 394 395 390 391
630000 394 395 390 393
635000 395 395 389 391
640000 394 395 389 391
645000 394 395 389 391
650000 394 395 388 392
655000 394 395 389 392
660000 393 395 388 392
665000 393 395 388 392
670000 393 395 388 392
675000 394 395 388 392
680000 394 395 388 392
685000 394 395 388 392
690000 393 395 388 392
695000 393 395 388 392
700000 393 395 388 391
705000 393 395 389 392
710000 393 395 390 392
715000 393 395 389 391
720000 393 395 388 392
725000 393 395 388 392
730000 393 395 387 391
735000 393 394 388 392
740000 393 395 386 392
745000 393 395 386 392
750000 393 394 387 390
755000 393 394 388 391
760000 393 394 387 391
765000 394 394 387 391
770000 393 395 386 390
775000 393 394 386 389
780000 393 394 385 390
785000 392 393 386 389
790000 392 395 385 390
795000 392 393 385 389
800000 391 393 385 389
