# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 398 400 400 400
10000 398 398 400 399
15000 398 399 399 400
20000 397 398 399 399
25000 397 398 399 400
30000 397 398 399 400
35000 398 398 399 400
40000 398 397 399 400
45000 398 395 400 400
50000 397 396 399 400
55000 398 396 399 400
60000 399 397 400 400
65000 399 397 400 400
70000 399 396 400 400
75000 397 394 400 400
80000 399 394 400 399
85000 399 394 398 399
90000 397 395 398 398
95000 398 395 398 399
100000 396 393 398 399
105000 397 393 399 398
110000 398 394 399 399
115000 397 394 398 398
120000 396 394 398 399
125000 398 393 398 398
130000 396 395 396 398
135000 397 396 396 397
140000 396 394 396 397
145000 398 395 396 397
150000 397 394 396 397
155000 395 393 396 397
160000 395 390 396 397
165000 396 390 397 397
170000 397 390 396 397
175000 397 390 396 396
180000 396 390 395 397
185000 396 391 396 397
190000 395 392 396 397
195000 396 390 396 397
200000 399 390 396 397
205000 399 391 397 395
210000 398 390 398 397
215000 397 390 399 395
220000 397 390 397 396
225000 397 390 398 396
230000 397 390 399 397
235000 397 390 398 395
240000 397 389 398 395
245000 397 389 398 394
250000 398 389 398 393
255000 398 389 398 392
260000 396 389 397 394
265000 396 388 398 395
270000 395 389 398 396
275000 395 388 398 395
280000 396 388 398 395
285000 396 389 398 394
290000 397 390 398 392
295000 397 389 398 393
300000 397 390 398 394
305000 397 389 398 393
310000 397 389 397 393
315000 397 389 397 393
320000 397 389 397 394
325000 396 389 397 394
330000 396 389 397 394
335000 396 389 397 394
340000 395 389 397 394
345000 396 389 397 394
350000 396 389 396 393
355000 396 389 396 393
360000 397 389 396 393
365000 397 390 396 393
370000 396 390 395 393
375000 396 391 395 393
380000 396 390 396 394
385000 398 389 396 394
390000 398 388 397 395
395000 398 387 396 393
400000 397 388 397 392
405000 397 387 397 394
410000 397 388 397 392
415000 397 388 397 392
420000 398 387 397 392
425000 398 386 397 391
430000 398 387 397 391
435000 398 386 397 393
440000 398 387 397 393
445000 397 385 397 393
450000 398 384 395 393
455000 397 385 395 393
460000 398 386 395 393
465000 398 384 395 393
470000 397 387 395 392
475000 397 387 395 394
480000 398 387 395 394
485000 398 387 396 394
490000 398 387 396 394
495000 398 386 395 394
500000 398 386 395 394
505000 398 387 395 394
510000 397 386 395 394
515000 397 386 395 394
520000 397 386 395 394
525000 397 386 395 393
530000 397 386 395 394
535000 397 386 395 395
540000 397 385 395 395
545000 397 386 395 395
550000 396 386 395 394
555000 397 387 395 394
560000 396 386 395 394
565000 396 386 395 394
570000 396 386 395 394
575000 396 387 395 394
580000 396 387 395 393
585000 397 387 395 393
590000 397 387 395 393
595000 397 385 395 393
600000 397 385 395 393
605000 397 385 395 393
610000 396 385 395 392
615000 397 386 395 392
620000 397 385 396 393
625000 396 384 395 392
630000 395 384 394 392
635000 396 383 394 392
640000 396 384 394 392
645000 397 385 395 391
650000 397 386 394 392
655000 396 387 394 393
660000 395 388 394 392
665000 395 388 394 393
670000 395 389 394 393
675000 395 389 394 393
680000 395 388 394 392
685000 395 387 394 392
690000 394 386 394 391
695000 394 388 395 393
700000 394 388 395 392
705000 394 387 395 391
710000 394 387 395 391
715000 394 387 394 392
720000 395 387 393 391
725000 395 387 393 392
730000 394 388 394 392
735000 394 388 394 392
740000 394 388 395 392
745000 395 388 395 393
750000 395 390 395 392
755000 396 390 395 392
760000 395 390 394 392
765000 394 390 393 391
770000 393 390 393 391
775000 393 390 394 391
780000 393 390 392 391
785000 394 389 393 391
790000 394 389 393 392
795000 394 389 395 392
800000 394 387 395 392
