# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 398 400 398
10000 399 397 400 398
15000 397 397 398 398
20000 396 397 398 397
25000 397 397 398 396
30000 398 398 398 396
35000 398 397 399 395
40000 398 396 399 396
45000 398 399 399 396
50000 398 398 398 395
55000 398 397 397 395
60000 397 397 396 396
65000 397 398 398 397
70000 398 398 397 396
75000 399 397 397 394
80000 399 397 397 395
85000 398 395 396 395
90000 398 395 396 394
95000 398 397 394 396
100000 398 397 395 397
105000 399 396 395 397
110000 399 397 395 396
115000 399 397 394 394
120000 399 397 395 393
125000 399 398 394 394
130000 398 397 394 395
135000 399 397 393 395
140000 398 397 393 395
145000 398 396 393 394
150000 397 397 393 394
155000 398 397 394 391
160000 398 397 393 391
165000 398 397 393 390
170000 398 396 393 389
175000 398 397 392 389
180000 397 396 392 389
185000 397 396 392 389
190000 397 396 392 389
195000 398 396 393 388
200000 398 396 395 388
205000 397 395 393 391
210000 397 395 393 390
215000 397 395 393 391
220000 396 392 393 392
225000 396 393 392 391
230000 396 394 392 392
235000 398 394 392 390
240000 396 394 392 390
245000 396 393 392 390
250000 395 393 394 391
255000 393 393 393 391
260000 392 393 393 391
265000 395 392 394 390
270000 396 392 393 390
275000 396 393 394 391
280000 395 393 393 391
285000 396 393 392 391
290000 394 393 392 391
295000 394 393 392 389
300000 395 393 392 390
305000 394 393 392 389
310000 394 393 393 389
315000 394 393 392 389
320000 394 393 393 390
325000 393 393 392 389
330000 393 393 392 389
335000 394 393 394 389
340000 394 393 394 390
345000 394 393 393 388
350000 394 393 393 389
355000 394 393 394 389
360000 393 392 393 390
365000 393 392 390 389
370000 394 392 391 391
375000 394 392 391 391
380000 394 392 391 391
385000 395 392 390 391
390000 394 393 389 391
395000 393 392 390 390
400000 394 392 389 390
405000 395 392 389 391
410000 394 393 389 390
415000 396 391 391 390
420000 395 392 390 389
425000 394 391 392 389
430000 394 393 391 389
435000 394 391 391 389
440000 394 392 391 388
445000 394 391 392 388
450000 394 391 393 388
455000 391 391 392 388
460000 390 391 388 388
465000 390 391 389 388
470000 390 391 389 388
475000 390 391 388 388
480000 390 392 390 387
485000 391 392 390 386
490000 391 393 390 387
495000 391 394 389 387
500000 392 394 390 388
505000 393 393 390 388
510000 393 393 391 388
515000 392 391 392 388
520000 392 392 392 387
525000 393 392 392 387
530000 393 392 392 386
535000 391 392 392 386
540000 393 392 391 386
545000 393 392 392 386
550000 392 393 391 386
555000 393 392 391 386
560000 393 391 391 386
565000 393 389 391 384
570000 393 390 391 384
575000 393 390 391 384
580000 394 390 390 384
585000 395 390 390 384
590000 394 390 390 385
595000 393 389 390 385
600000 393 389 389 385
605000 394 390 389 384
610000 394 390 389 385
615000 393 390 390 388
620000 393 390 389 388
625000 392 390 390 387
630000 393 391 390 385
635000 393 391 390 385
640000 394 390 391 385
645000 394 391 391 385
650000 394 391 392 385
655000 395 391 392 385
660000 395 391 392 386
665000 394 391 391 386
670000 392 392 392 386
675000 394 391 392 388
680000 392 392 392 388
685000 392 391 393 388
690000 394 391 390 387
695000 393 391 392 387
700000 392 391 391 387
705000 392 390 392 387
710000 393 390 392 387
715000 393 390 391 387
720000 394 390 391 387
725000 393 390 389 388
730000 391 390 390 387
735000 392 389 391 387
740000 392 391 390 388
745000 392 391 390 387
750000 394 391 391 388
755000 394 390 391 387
760000 394 389 390 389
765000 393 389 390 389
770000 394 389 390 389
775000 394 388 389 389
780000 394 389 388 389
785000 393 389 389 388
790000 392 388 389 388
795000 394 387 389 388
800000 394 387 389 389
