# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 399 400 397
10000 400 399 400 398
15000 399 400 398 396
20000 399 400 400 396
25000 398 400 399 396
30000 397 400 398 396
35000 397 400 398 396
40000 397 399 399 396
45000 396 399 398 397
50000 397 398 398 396
55000 397 398 398 396
60000 397 397 397 397
65000 396 398 397 397
70000 396 399 397 397
75000 397 399 397 397
80000 397 399 398 396
85000 397 399 398 395
90000 397 398 398 395
95000 396 398 398 395
100000 397 398 398 395
105000 396 399 398 395
110000 397 398 398 395
115000 397 398 398 395
120000 398 398 397 395
125000 398 397 397 395
130000 398 399 395 395
135000 397 399 396 395
140000 395 398 396 394
145000 396 397 396 394
150000 396 398 396 394
155000 395 399 395 395
160000 395 399 396 395
165000 394 398 396 395
170000 395 397 396 395
175000 395 398 396 395
180000 394 397 396 396
185000 394 397 395 396
190000 394 398 395 396
195000 395 397 395 396
200000 394 397 396 396
205000 394 397 396 394
210000 393 398 396 393
215000 393 397 396 394
220000 393 398 395 394
