# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 397 400 399 400
10000 397 399 399 400
15000 398 399 399 399
20000 399 398 399 400
25000 399 397 399 398
30000 399 397 399 399
35000 397 398 399 398
40000 398 397 399 398
45000 395 398 399 397
50000 397 397 397 397
55000 396 397 397 397
60000 398 398 397 398
65000 397 398 397 396
70000 396 398 397 396
75000 395 398 397 397
80000 396 398 397 398
85000 396 398 397 398
90000 394 398 397 397
95000 396 399 398 397
100000 394 399 397 395
105000 393 399 398 396
110000 392 399 396 396
115000 393 399 396 396
120000 393 398 396 395
125000 393 398 396 396
130000 394 398 396 395
135000 394 399 394 395
140000 395 399 394 396
145000 394 398 394 396
150000 394 398 394 396
155000 393 396 393 396
160000 393 396 394 396
165000 394 396 394 396
170000 393 396 394 396
175000 394 396 394 395
180000 395 397 393 396
185000 394 397 396 398
190000 394 397 396 398
195000 396 396 395 399
200000 395 397 395 399
205000 394 397 395 398
210000 397 398 395 398
215000 396 398 394 398
220000 395 397 395 397
225000 395 397 396 398
230000 395 396 393 397
235000 395 397 395 396
240000 395 397 392 397
245000 395 396 391 397
250000 393 397 392 397
255000 393 397 393 397
260000 391 397 392 397
265000 391 397 392 397
270000 392 397 392 397
275000 391 397 393 397
280000 392 397 392 398
285000 391 397 393 398
290000 391 397 394 398
295000 392 396 393 398
300000 392 396 393 398
305000 392 396 394 398
310000 392 395 395 398
315000 392 396 394 398
320000 392 395 395 398
325000 392 396 395 398
330000 392 396 395 398
335000 391 396 395 397
340000 392 395 395 397
345000 392 395 394 396
350000 391 395 394 396
355000 391 395 394 396
360000 391 395 394 397
365000 391 395 394 397
370000 390 395 394 397
375000 391 395 394 397
380000 390 395 393 397
385000 390 395 394 396
390000 390 395 393 396
395000 390 395 393 396
400000 389 395 393 397
405000 389 395 393 397
410000 389 395 393 398
415000 389 396 394 398
420000 389 396 393 397
425000 389 396 393 398
430000 391 396 393 397
435000 392 395 393 397
440000 391 395 393 397
445000 392 395 393 396
450000 392 395 393 397
455000 392 395 393 398
460000 392 395 393 397
465000 391 395 393 397
470000 392 395 392 397
475000 392 394 392 398
480000 391 394 391 398
485000 391 394 392 398
490000 391 394 390 397
495000 391 394 391 396
500000 390 394 391 396
505000 391 393 390 397
510000 391 394 390 395
515000 391 393 390 395
520000 390 393 390 395
525000 391 393 391 395
530000 390 393 390 395
535000 390 393 391 395
540000 391 393 391 396
545000 390 393 391 396
550000 390 393 391 395
555000 390 393 391 395
560000 390 393 391 395
565000 392 394 390 395
570000 391 394 390 395
575000 391 394 391 394
580000 390 393 390 394
585000 390 393 390 393
590000 390 393 390 392
595000 391 394 390 392
600000 392 393 391 392
605000 393 394 390 392
610000 393 394 390 392
615000 393 394 390 392
620000 393 393 390 391
625000 393 393 390 392
630000 391 393 391 393
635000 392 393 391 392
640000 391 393 390 393
645000 391 394 389 393
650000 391 394 390 393
655000 391 393 390 394
660000 389 393 389 394
665000 388 394 390 394
670000 390 394 390 394
675000 390 394 390 395
680000 389 394 390 393
685000 389 394 391 394
690000 389 395 390 394
695000 388 394 390 394
700000 389 394 390 393
705000 389 394 390 395
710000 388 393 391 394
715000 388 393 390 394
720000 389 394 390 394
725000 388 395 390 394
730000 387 395 390 394
735000 387 395 390 394
740000 388 395 389 394
745000 390 395 389 394
750000 389 396 389 394
755000 389 395 389 394
760000 388 396 389 394
765000 387 395 389 393
770000 387 396 390 393
775000 387 396 390 393
780000 388 395 390 393
785000 390 392 390 393
790000 388 394 390 393
795000 388 396 390 393
800000 389 394 390 393
