# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 400 396 399
10000 400 400 398 399
15000 400 400 398 399
20000 400 399 397 397
25000 400 400 397 397
30000 400 400 398 398
35000 400 400 398 397
40000 400 400 398 395
45000 400 400 398 397
50000 400 400 397 397
55000 400 400 397 396
60000 400 400 397 395
65000 400 400 398 395
70000 400 400 398 395
75000 400 400 398 396
80000 400 399 398 396
85000 400 399 397 395
90000 400 399 398 395
95000 399 399 398 394
100000 399 399 397 395
105000 399 399 398 396
110000 399 398 398 396
115000 399 398 397 395
120000 399 397 397 396
125000 399 397 397 396
130000 399 397 397 396
135000 399 397 398 396
140000 399 397 398 396
145000 399 398 398 396
150000 399 399 397 396
155000 399 399 397 396
160000 399 398 397 396
165000 399 395 397 396
170000 399 395 397 395
175000 399 396 396 394
180000 399 397 396 393
185000 399 396 395 395
190000 399 396 395 395
195000 399 396 396 395
200000 399 396 395 395
205000 399 397 395 395
210000 399 397 395 394
215000 399 397 396 393
220000 399 397 396 393
225000 399 397 395 393
230000 399 398 395 392
235000 399 397 395 394
240000 399 398 393 395
245000 399 398 394 394
250000 399 397 394 395
255000 399 397 393 393
260000 399 397 392 393
265000 399 397 393 393
270000 399 397 393 393
275000 399 397 393 393
280000 399 397 393 394
285000 398 397 393 394
290000 398 396 392 394
295000 398 396 393 395
300000 398 396 393 394
305000 398 396 393 394
310000 398 396 393 394
315000 398 396 393 394
320000 398 396 393 393
325000 398 396 394 393
330000 398 395 393 392
335000 398 396 394 393
340000 398 395 394 393
345000 398 394 394 393
350000 398 396 394 392
355000 398 394 394 391
360000 398 394 394 391
365000 398 392 394 391
370000 398 392 394 391
375000 398 393 394 390
380000 398 393 395 389
385000 398 393 395 390
390000 398 393 395 391
395000 398 392 394 391
400000 398 392 394 391
405000 398 393 394 391
410000 397 392 394 392
415000 395 391 394 391
420000 395 391 394 391
425000 398 391 394 391
430000 396 391 394 391
435000 396 391 393 390
440000 396 391 394 390
445000 396 391 394 390
450000 397 392 394 391
455000 397 392 394 390
460000 396 392 394 390
465000 397 392 394 390
470000 395 391 394 391
475000 396 391 394 390
480000 397 391 394 391
485000 397 391 394 391
490000 397 391 393 392
495000 396 391 393 391
500000 394 391 394 391
505000 395 390 394 391
510000 395 390 394 391
515000 395 391 394 391
520000 395 392 392 391
525000 394 392 392 389
530000 395 391 392 390
535000 395 392 391 391
540000 395 392 391 390
545000 396 391 392 390
550000 397 391 392 390
555000 396 391 393 391
560000 395 390 394 391
565000 394 390 394 393
570000 394 390 394 391
575000 394 391 394 392
580000 394 390 394 393
585000 394 390 394 393
590000 394 390 394 393
595000 394 391 392 393
600000 394 390 393 393
605000 395 389 392 392
610000 394 389 392 392
615000 394 390 392 393
620000 395 390 393 393
625000 395 392 393 393
630000 395 391 393 392
635000 396 391 393 392
640000 396 391 393 392
645000 395 391 392 390
650000 395 391 393 391
655000 395 391 393 390
660000 395 390 392 391
665000 396 391 392 391
670000 396 391 392 390
675000 395 389 393 390
680000 395 390 393 390
685000 394 390 392 390
690000 395 389 392 390
695000 395 391 391 390
700000 396 390 392 390
705000 395 389 391 391
710000 394 389 391 391
715000 394 390 391 391
720000 395 390 391 391
725000 394 390 391 391
730000 394 389 392 390
735000 394 390 391 390
740000 393 391 392 391
745000 394 391 391 390
750000 395 390 392 391
755000 395 391 392 390
760000 395 390 393 391
765000 395 390 393 390
770000 394 391 393 389
775000 394 390 392 389
780000 394 390 392 390
785000 394 390 392 389
790000 395 389 392 389
795000 395 389 391 388
800000 395 389 392 389
