# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 398 397 399 399
10000 399 396 399 399
15000 399 396 399 399
20000 399 396 398 399
25000 399 397 398 399
30000 398 397 398 399
35000 399 396 397 399
40000 399 397 397 399
45000 397 395 398 399
50000 397 395 396 399
55000 398 395 394 399
60000 399 394 397 399
65000 399 394 397 399
70000 399 395 397 399
75000 398 394 398 399
80000 398 393 398 399
85000 398 394 398 399
90000 398 394 397 399
95000 398 397 397 399
100000 398 396 397 399
105000 397 394 397 399
110000 397 394 396 399
115000 397 394 397 399
120000 397 394 396 399
125000 397 394 398 399
130000 398 394 396 399
135000 398 394 397 399
140000 397 395 398 399
145000 397 395 397 399
150000 397 395 397 399
155000 397 395 398 399
160000 398 392 398 398
165000 398 394 398 398
170000 398 395 398 398
175000 398 395 397 398
180000 398 395 398 398
185000 397 395 398 398
190000 398 395 398 397
195000 398 393 398 397
200000 396 394 398 397
205000 397 393 397 397
210000 397 393 397 395
215000 397 392 396 395
220000 397 393 397 395
225000 397 392 396 395
230000 397 392 396 395
235000 397 391 398 395
240000 397 391 396 394
245000 397 392 396 395
250000 397 392 394 395
255000 397 392 393 395
260000 397 392 393 395
265000 397 392 394 396
270000 397 393 396 396
275000 397 394 395 395
280000 396 392 395 394
285000 396 391 396 396
290000 395 392 395 394
295000 396 391 396 394
300000 395 390 397 394
305000 396 390 397 394
310000 395 390 397 394
315000 395 390 398 394
320000 395 390 397 394
325000 395 390 398 394
330000 395 390 398 394
335000 395 391 398 394
340000 395 390 398 395
345000 395 390 397 395
350000 394 389 398 396
355000 395 389 398 395
360000 396 389 398 396
365000 396 389 398 394
370000 395 388 398 394
375000 395 387 398 394
380000 395 387 398 394
385000 394 388 398 394
390000 395 388 398 393
395000 395 387 398 394
400000 394 387 398 395
405000 393 388 398 395
410000 393 388 398 395
415000 393 389 398 394
420000 393 389 398 394
425000 393 389 398 395
430000 394 388 399 395
435000 394 388 399 394
440000 394 389 399 394
445000 393 389 399 394
450000 394 389 398 395
455000 394 388 397 394
460000 394 388 398 395
465000 393 388 397 394
470000 394 388 398 394
475000 394 390 398 394
480000 394 390 399 395
485000 394 390 398 395
490000 394 389 399 395
495000 395 389 399 395
500000 394 390 398 396
505000 396 389 398 396
510000 393 391 396 396
515000 395 391 398 395
520000 393 391 398 395
525000 393 391 398 395
530000 392 390 395 395
535000 392 392 397 396
540000 390 389 396 396
545000 389 389 397 395
550000 391 389 396 395
555000 391 390 397 395
560000 392 391 398 395
565000 392 392 398 395
570000 392 391 398 395
575000 392 392 396 395
580000 392 390 395 394
585000 392 391 396 394
590000 393 392 397 394
595000 393 392 396 393
600000 394 392 397 393
605000 393 392 396 393
610000 393 393 397 393
615000 392 392 395 394
620000 393 392 395 394
625000 392 392 396 397
630000 392 392 395 397
635000 392 393 395 397
640000 391 393 395 395
645000 390 392 394 396
650000 392 390 393 396
655000 392 393 394 396
660000 393 392 393 395
665000 393 391 392 397
670000 394 393 393 395
675000 392 391 393 395
680000 392 391 393 395
685000 392 391 393 393
690000 392 391 394 393
695000 392 390 394 393
700000 392 389 395 393
705000 393 390 393 392
710000 393 389 393 391
715000 391 390 392 392
720000 391 391 392 392
725000 391 388 391 394
730000 391 389 392 394
735000 390 389 393 395
740000 391 389 394 393
745000 392 388 394 393
750000 391 388 391 393
755000 391 388 391 393
760000 392 387 392 392
765000 391 388 392 395
770000 392 388 392 393
775000 390 386 392 395
780000 391 386 392 393
785000 390 387 392 394
790000 391 388 392 394
795000 389 389 392 394
800000 391 389 393 393
