# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 400 399 400
10000 399 400 399 400
15000 399 400 399 399
20000 399 399 399 399
25000 399 398 398 400
30000 399 398 399 400
35000 398 397 399 399
40000 399 398 399 400
45000 399 398 399 400
50000 398 397 398 400
55000 397 395 399 399
60000 397 397 399 398
65000 398 398 398 399
70000 398 397 397 400
75000 398 397 398 399
80000 398 397 399 399
85000 399 397 399 398
90000 399 396 399 399
95000 399 396 399 399
100000 399 396 399 400
105000 398 396 398 399
110000 399 397 397 399
115000 400 396 396 398
120000 400 395 395 399
125000 398 395 394 398
130000 399 395 394 398
135000 399 396 395 400
140000 399 396 395 399
145000 399 396 395 399
150000 399 394 396 399
155000 399 395 395 399
160000 398 393 395 399
165000 399 394 395 399
170000 398 394 395 398
175000 398 394 394 399
180000 399 395 394 398
185000 398 393 394 399
190000 397 394 393 398
195000 397 394 396 398
200000 397 394 394 397
205000 397 394 394 397
210000 398 394 394 397
215000 396 394 396 398
220000 396 394 396 398
225000 397 394 394 398
230000 397 394 394 398
235000 397 395 395 398
240000 397 393 395 398
245000 397 394 395 398
250000 397 395 395 398
255000 396 395 395 398
260000 396 394 394 398
265000 396 395 395 397
270000 396 394 395 397
275000 395 394 394 397
280000 395 395 395 397
285000 395 394 395 397
290000 395 396 395 396
295000 394 395 395 397
300000 395 395 396 396
305000 395 395 396 396
310000 395 396 396 396
315000 395 396 397 396
320000 394 396 395 397
325000 395 396 397 397
330000 394 397 396 395
335000 394 397 397 395
340000 394 396 396 396
345000 393 396 395 396
350000 393 396 395 396
355000 393 396 395 396
360000 394 395 395 396
365000 394 395 396 396
370000 394 396 394 396
375000 394 396 394 397
380000 394 396 395 397
385000 393 395 394 397
390000 393 396 394 397
395000 393 396 393 397
400000 393 396 392 397
405000 393 396 392 397
410000 393 394 393 397
415000 393 394 393 397
420000 393 393 393 397
425000 392 395 392 397
430000 393 393 392 397
435000 393 394 392 397
440000 394 394 392 397
445000 393 394 392 397
450000 393 392 391 397
455000 393 391 390 397
460000 393 391 391 397
465000 392 390 390 397
470000 391 390 390 397
475000 391 392 390 397
480000 391 393 391 398
485000 391 392 391 397
490000 391 390 391 397
495000 391 392 391 397
500000 391 390 390 397
505000 391 390 389 398
510000 391 392 389 398
515000 391 391 390 398
520000 391 390 389 397
525000 391 390 390 398
530000 392 390 390 397
535000 392 388 389 397
540000 392 389 389 397
545000 392 387 388 397
550000 392 387 389 397
555000 392 387 388 398
560000 392 388 391 398
565000 391 387 388 397
570000 392 387 388 397
575000 391 386 389 397
580000 391 388 389 397
585000 391 387 388 396
590000 391 386 389 398
595000 391 387 390 398
600000 391 388 390 398
605000 391 388 390 397
610000 391 388 392 398
615000 390 389 390 398
620000 390 386 391 398
625000 390 386 389 398
630000 390 385 388 398
635000 390 385 391 398
640000 391 385 391 398
645000 390 386 390 397
650000 391 385 391 398
655000 391 386 389 397
660000 392 386 390 397
665000 390 385 389 397
670000 390 385 389 397
675000 389 385 388 397
680000 390 385 389 397
685000 388 385 389 397
690000 388 387 388 397
695000 388 386 388 397
700000 388 386 390 397
705000 389 387 387 397
710000 388 386 389 397
715000 387 387 388 396
720000 387 387 389 396
725000 388 387 389 396
730000 387 386 389 396
735000 386 386 389 396
740000 386 386 390 396
745000 386 387 391 396
750000 385 386 389 396
755000 386 387 389 395
760000 386 387 389 395
765000 385 388 388 395
770000 386 388 388 396
775000 386 388 387 396
780000 387 388 389 396
785000 387 389 389 396
790000 386 388 388 395
795000 384 389 388 396
800000 385 388 388 396
