# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 400 398 400
10000 399 399 398 400
15000 397 399 399 400
20000 398 400 399 400
25000 398 399 399 400
30000 398 399 398 400
35000 397 400 396 400
40000 398 400 396 399
45000 399 400 398 399
50000 398 400 398 399
55000 398 399 397 399
60000 399 398 398 399
65000 397 397 398 399
70000 396 398 396 399
75000 398 398 396 398
80000 398 398 398 398
85000 397 398 397 399
90000 396 398 397 399
95000 396 398 396 399
100000 397 399 396 398
105000 398 398 396 398
110000 398 398 396 399
115000 395 397 396 399
120000 395 396 396 399
125000 396 397 395 400
130000 396 397 396 398
135000 395 397 396 399
140000 394 396 396 399
145000 395 397 395 398
150000 394 396 395 397
155000 395 396 394 398
160000 393 396 392 398
165000 392 396 393 398
170000 392 396 393 398
175000 392 396 393 398
180000 392 396 394 398
185000 392 396 394 397
190000 392 396 394 397
195000 392 397 394 397
200000 393 397 394 397
205000 394 397 393 398
210000 392 397 391 398
215000 393 397 391 398
220000 393 396 392 397
225000 393 396 393 397
230000 394 397 393 397
235000 395 396 393 396
240000 393 396 393 396
245000 393 395 393 396
250000 394 396 394 398
255000 394 396 395 397
260000 394 396 395 396
265000 395 397 394 398
270000 395 396 395 398
275000 395 395 394 398
280000 395 395 393 398
285000 396 396 393 399
290000 396 396 393 399
295000 396 395 393 399
300000 394 396 393 399
305000 395 396 392 399
310000 395 396 391 399
315000 393 395 392 399
320000 393 396 391 398
325000 393 396 392 399
330000 393 395 392 399
335000 393 395 393 399
340000 393 395 390 399
345000 393 395 389 398
350000 393 394 392 399
355000 392 393 391 398
360000 392 394 391 399
365000 392 392 392 399
370000 392 392 390 398
375000 391 392 390 399
380000 391 392 390 399
385000 391 391 391 399
390000 391 391 389 399
395000 391 391 389 399
400000 391 391 390 398
405000 391 391 390 398
410000 392 393 391 398
415000 392 392 391 397
420000 392 391 390 398
425000 391 391 389 397
430000 391 390 392 397
435000 392 391 391 397
440000 392 392 390 397
445000 392 391 390 397
450000 393 391 390 397
455000 394 391 389 397
460000 393 391 389 397
465000 393 391 388 397
470000 390 390 388 397
475000 391 392 388 398
480000 391 392 389 398
485000 393 392 389 398
490000 393 393 386 397
495000 392 393 385 398
500000 391 392 386 397
505000 392 392 385 397
510000 392 393 387 397
515000 392 391 388 397
520000 393 390 387 396
525000 393 392 389 397
530000 393 391 387 396
535000 393 392 387 396
540000 393 392 388 396
545000 392 392 388 396
550000 393 392 389 394
555000 392 393 388 394
560000 392 392 387 394
565000 390 392 387 395
570000 391 391 386 395
575000 391 392 387 396
580000 390 391 386 396
585000 390 391 387 396
590000 390 391 387 395
595000 389 391 386 396
600000 389 391 386 395
605000 389 391 389 395
610000 389 392 390 396
615000 389 392 391 395
620000 389 392 390 395
625000 389 392 390 396
630000 389 391 391 396
635000 389 391 392 396
640000 388 391 392 398
645000 387 392 392 398
650000 387 392 391 399
655000 388 392 392 398
660000 388 392 391 398
665000 388 392 390 398
670000 389 391 390 397
675000 390 391 390 397
680000 389 391 390 398
685000 388 390 390 398
690000 391 391 390 398
695000 391 391 390 398
700000 392 391 390 397
705000 391 390 389 397
710000 391 389 388 397
715000 391 390 388 397
720000 392 390 388 397
725000 392 390 389 397
730000 390 390 389 397
735000 389 390 388 397
740000 389 391 388 397
745000 390 390 389 397
750000 391 390 389 397
755000 391 388 387 397
760000 390 387 387 397
765000 390 389 386 397
770000 390 389 387 397
775000 390 388 388 397
780000 389 388 386 397
785000 389 388 386 397
790000 390 388 387 396
795000 388 388 386 397
800000 389 388 387 398
