# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 400 399 400
10000 399 400 399 399
15000 399 400 397 399
20000 398 398 397 400
25000 398 398 399 399
30000 398 398 399 399
35000 397 398 398 398
40000 398 398 398 398
45000 398 397 398 399
50000 397 397 399 399
55000 396 397 399 399
60000 396 396 399 399
65000 397 396 399 398
70000 397 396 398 398
75000 397 395 397 399
80000 397 397 398 397
85000 397 397 398 397
90000 397 397 398 398
95000 396 397 398 397
100000 395 396 398 396
105000 395 396 397 396
110000 395 395 396 396
115000 397 393 396 397
120000 397 394 397 395
125000 397 395 396 395
130000 396 395 396 396
135000 396 396 397 396
140000 396 395 398 396
145000 396 393 398 396
150000 396 395 396 396
155000 396 396 398 395
160000 397 395 398 395
165000 397 395 398 395
170000 397 395 398 396
175000 397 395 398 396
180000 398 395 396 396
185000 397 395 396 395
190000 397 395 397 397
195000 397 395 397 396
200000 397 395 395 395
205000 396 395 396 396
210000 396 394 397 396
215000 395 393 397 397
220000 393 394 397 396
225000 393 395 396 396
230000 395 394 396 396
235000 394 393 396 396
240000 394 391 395 396
245000 394 390 395 396
250000 394 391 397 396
255000 394 391 396 396
260000 394 391 396 397
265000 394 391 396 397
270000 394 391 396 396
275000 395 390 396 397
280000 396 389 396 398
285000 395 392 396 398
290000 395 392 396 396
295000 393 390 396 395
300000 395 390 394 396
305000 394 390 394 396
310000 394 393 395 396
315000 394 392 394 395
320000 394 392 394 395
325000 394 391 395 395
330000 394 392 393 397
335000 395 393 394 398
340000 395 390 395 396
345000 395 392 395 396
350000 396 392 394 395
355000 395 392 394 396
360000 395 392 393 397
365000 394 392 393 396
370000 393 392 393 395
375000 393 391 391 394
380000 392 392 392 393
385000 392 390 392 393
390000 391 391 393 394
395000 391 390 392 395
400000 391 390 391 394
405000 392 390 391 394
410000 390 390 391 395
415000 390 388 391 394
420000 390 389 391 394
425000 391 389 391 395
430000 390 390 391 395
435000 391 391 392 395
440000 390 389 392 395
445000 391 389 392 395
450000 391 390 391 395
455000 391 388 390 393
460000 390 389 389 395
465000 391 391 391 396
470000 391 390 393 395
475000 392 390 391 395
480000 392 388 394 395
485000 392 389 394 395
490000 392 387 394 395
495000 393 387 393 395
500000 392 389 394 396
505000 392 389 395 396
510000 392 390 395 394
515000 392 389 394 393
520000 392 389 395 394
525000 391 389 395 394
530000 392 389 394 394
535000 391 389 393 395
540000 393 389 394 395
545000 393 389 395 395
550000 393 390 395 395
555000 392 390 394 395
560000 391 389 392 394
565000 390 389 393 394
570000 391 390 393 397
575000 390 390 393 395
580000 391 390 392 394
585000 391 389 392 393
590000 391 389 393 393
595000 391 388 393 392
600000 390 386 392 392
605000 390 386 394 393
610000 390 386 393 394
615000 390 386 394 392
620000 389 385 392 394
625000 389 385 392 394
630000 389 385 393 393
635000 390 387 392 394
640000 389 385 392 394
645000 389 384 393 395
650000 389 385 392 396
655000 389 384 392 396
660000 389 384 392 397
665000 389 383 393 396
670000 389 384 393 397
675000 390 385 393 397
680000 389 384 393 397
685000 389 385 394 397
690000 388 384 394 398
695000 389 387 394 398
700000 389 386 393 397
705000 389 386 392 398
710000 390 386 392 397
715000 388 386 393 397
720000 388 386 392 397
725000 388 386 392 396
730000 389 387 389 396
735000 389 386 390 396
740000 390 387 391 396
745000 389 387 390 396
750000 390 387 390 395
755000 390 387 390 396
760000 391 387 391 395
765000 392 387 390 395
770000 391 385 390 395
775000 389 385 391 394
780000 390 385 390 393
785000 388 387 391 393
790000 389 387 390 394
795000 388 388 391 394
800000 391 387 391 394
