# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 398 399 400 400
10000 397 399 399 400
15000 397 398 400 398
20000 396 398 400 399
25000 394 397 400 399
30000 393 397 399 398
35000 393 399 399 399
40000 392 399 400 399
45000 394 397 400 399
50000 393 397 399 398
55000 393 398 399 399
60000 393 398 399 399
65000 392 398 398 399
70000 391 398 399 397
75000 391 396 399 397
80000 390 397 399 397
85000 390 398 399 396
90000 390 397 399 397
95000 391 397 399 396
100000 388 399 399 398
105000 388 399 399 398
110000 389 399 398 399
115000 392 399 397 398
120000 392 399 397 398
125000 393 399 398 398
130000 393 399 397 398
135000 392 397 397 398
140000 391 397 398 398
145000 391 396 399 397
150000 391 397 398 397
155000 391 398 398 398
160000 389 398 397 398
165000 388 397 397 397
170000 388 398 397 398
175000 389 398 397 397
180000 389 397 398 397
185000 390 398 398 397
190000 390 397 398 397
195000 390 398 398 397
200000 391 398 397 397
205000 391 398 397 397
210000 391 398 397 397
215000 392 398 396 397
220000 393 398 396 397
225000 392 398 396 398
230000 394 398 395 397
235000 394 398 395 397
240000 394 398 394 397
245000 392 398 394 397
250000 392 397 394 397
255000 392 397 394 397
260000 392 397 394 397
265000 391 397 394 397
270000 391 397 394 397
275000 392 397 394 397
280000 392 396 394 396
285000 392 397 394 397
290000 392 396 394 397
295000 391 396 392 397
300000 390 396 392 396
305000 390 396 392 397
310000 390 396 393 395
315000 390 396 394 397
320000 390 396 395 396
325000 390 396 394 396
330000 390 395 393 394
335000 390 395 394 395
340000 388 394 395 395
345000 388 395 394 396
350000 389 396 395 395
355000 387 394 395 394
360000 388 394 394 394
365000 390 396 393 394
370000 390 395 394 394
375000 390 394 393 394
380000 389 394 393 394
385000 390 395 393 395
390000 390 396 394 394
395000 389 395 394 395
400000 388 396 394 395
405000 388 396 394 395
410000 388 395 394 395
415000 387 395 393 395
420000 388 396 394 395
425000 388 395 393 395
430000 389 395 392 395
435000 389 395 392 395
440000 389 395 393 395
445000 389 395 392 395
450000 388 395 393 395
455000 389 395 394 395
460000 390 395 394 394
465000 389 395 393 394
470000 390 395 393 394
475000 389 395 391 394
480000 390 394 392 395
485000 390 394 392 394
490000 390 394 393 395
495000 389 394 392 396
500000 389 394 391 396
505000 390 394 392 396
510000 390 394 392 395
515000 389 394 392 395
520000 390 394 393 395
525000 389 393 392 395
530000 390 392 392 396
535000 390 393 390 395
540000 390 393 390 396
545000 390 393 390 396
550000 391 393 391 394
555000 391 394 391 393
560000 391 395 391 394
565000 391 394 391 393
570000 391 394 390 393
575000 391 394 390 393
580000 391 394 391 394
585000 391 393 391 393
590000 391 393 391 392
595000 392 393 391 392
600000 391 394 390 392
605000 391 395 392 392
610000 391 395 390 392
615000 391 396 392 392
620000 391 396 391 393
625000 391 396 391 391
630000 391 395 391 390
635000 392 396 391 390
640000 393 397 392 389
645000 392 395 392 389
650000 392 396 392 390
655000 392 395 392 389
660000 392 395 390 390
665000 390 394 391 391
670000 391 395 391 391
675000 393 395 390 390
680000 392 395 391 390
685000 393 394 392 390
690000 392 395 392 389
695000 392 394 392 389
700000 391 394 392 390
705000 391 394 390 390
710000 390 393 390 390
715000 390 394 389 388
720000 390 395 390 389
725000 390 395 389 388
730000 389 395 389 389
735000 390 394 390 387
740000 390 394 388 386
745000 390 394 388 386
750000 390 393 389 388
755000 390 393 387 389
760000 390 393 388 388
765000 391 394 389 387
770000 391 394 388 390
775000 391 394 387 390
780000 391 393 388 390
785000 391 394 388 390
790000 391 394 388 390
795000 391 394 388 390
800000 391 394 388 389
805000 391 394 388 389
810000 389 394 388 389
815000 390 394 388 389
820000 390 394 387 389
825000 391 394 388 389
830000 390 394 387 389
835000 389 393 387 389
840000 389 394 387 389
845000 389 394 388 388
850000 389 393 387 389
855000 389 393 387 389
860000 387 393 387 388
865000 386 394 387 388
870000 387 394 388 388
875000 386 394 386 388
880000 386 395 386 388
885000 387 395 386 388
890000 389 395 387 388
895000 389 395 388 388
900000 389 394 387 387
905000 389 394 386 388
910000 389 393 388 388
915000 389 393 389 389
920000 389 393 388 388
925000 389 393 388 388
930000 389 393 387 389
935000 389 393 387 388
940000 390 393 387 388
945000 390 392 386 388
950000 389 392 387 388
955000 389 393 388 387
960000 388 393 387 388
965000 388 393 386 387
970000 389 393 386 387
975000 388 393 385 387
980000 388 392 385 387
985000 388 393 385 387
990000 387 393 387 387
995000 386 394 386 388
1000000 387 394 386 388
1005000 387 393 386 388
1010000 388 393 385 388
1015000 387 393 385 389
1020000 387 393 387 388
1025000 387 393 388 388
1030000 387 393 388 387
1035000 387 394 389 386
1040000 386 395 389 386
1045000 385 395 387 385
1050000 386 395 388 386
1055000 386 395 387 386
1060000 386 393 387 384
1065000 385 395 386 385
1070000 385 395 385 385
1075000 385 395 386 385
1080000 385 394 387 385
1085000 385 394 386 383
1090000 385 394 387 383
1095000 385 393 388 382
1100000 385 393 387 383
1105000 385 393 386 383
1110000 386 393 388 383
1115000 387 393 389 383
1120000 387 394 388 383
1125000 387 394 388 383
1130000 386 393 388 383
1135000 387 392 389 383
1140000 387 392 389 383
1145000 388 393 388 383
1150000 388 394 389 383
1155000 387 393 388 383
1160000 387 393 389 383
1165000 387 392 389 383
1170000 388 392 388 383
1175000 387 392 388 382
1180000 388 392 388 383
1185000 388 391 389 385
1190000 388 391 389 383
1195000 387 391 387 385
1200000 386 391 386 386
1205000 387 391 387 385
1210000 386 392 387 387
1215000 387 392 388 387
1220000 387 392 385 387
