# Time-averaged data for fix ave_n
# TimeStep v_nhl v_nal v_nhr v_nar
10000 392 397 389 397
20000 392 397 389 397
30000 392 397 389 397
40000 392 397 389 397
50000 392 397 389 397
60000 392 397 389 397
70000 392 397 389 397
80000 392 397 389 397
90000 392 397 389 397
100000 392 397 389 397
110000 392 397 389 397
120000 392 397 389 397
130000 392 397 389 397
140000 392 397 389 397
150000 392 397 389 397
160000 392 397 389 397
170000 391 397 389 397
180000 392 397 389 397
190000 391 397 389 397
200000 390 397 389 397
