# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 399 400 400
10000 400 398 399 396
15000 400 398 399 396
20000 400 398 399 398
25000 400 398 400 397
30000 400 397 399 396
35000 400 398 398 395
40000 400 398 397 393
45000 400 399 398 394
50000 399 397 399 393
55000 400 398 398 393
60000 400 397 397 393
65000 400 396 397 393
70000 400 396 396 393
75000 400 396 396 392
80000 399 396 396 394
85000 399 397 395 395
90000 399 397 395 394
95000 399 396 394 395
100000 398 395 395 396
105000 398 397 395 396
110000 399 397 395 396
115000 399 395 396 396
120000 399 395 395 395
125000 398 398 393 396
130000 398 397 395 396
135000 398 397 395 396
140000 397 397 395 396
145000 398 396 392 396
150000 396 398 392 396
155000 396 399 392 397
160000 396 398 394 397
165000 396 398 394 397
170000 396 398 393 397
175000 396 397 394 396
180000 396 400 394 396
185000 396 400 393 396
190000 396 399 393 395
195000 396 399 391 395
200000 397 398 392 395
205000 396 396 390 395
210000 395 397 393 396
215000 395 398 393 396
220000 395 397 393 395
225000 395 397 393 395
230000 395 397 392 395
235000 395 397 391 395
240000 395 396 390 395
245000 395 396 390 394
250000 395 397 391 394
255000 395 397 390 395
260000 396 397 392 394
265000 396 395 391 395
270000 395 394 391 395
275000 395 393 391 394
280000 395 394 391 395
285000 395 394 392 395
290000 395 394 391 393
295000 395 395 392 394
300000 395 395 391 395
305000 394 395 390 394
310000 394 394 389 394
315000 395 395 388 396
320000 395 395 388 397
325000 395 394 387 396
330000 394 393 386 396
335000 395 394 387 396
340000 394 394 387 394
345000 394 394 387 394
350000 394 392 387 393
355000 393 395 386 393
360000 394 393 386 393
365000 394 394 386 393
370000 394 395 385 392
375000 393 393 386 392
380000 393 394 386 391
385000 394 394 387 391
390000 394 393 387 390
395000 394 395 387 392
400000 394 395 386 390
405000 394 395 386 391
410000 392 395 387 391
415000 392 395 387 392
420000 392 395 386 392
425000 391 396 386 392
430000 391 394 386 393
435000 390 394 386 393
440000 390 393 386 393
445000 391 395 387 393
450000 391 393 387 393
455000 391 393 387 393
460000 391 394 386 393
465000 392 395 386 393
470000 391 394 387 393
475000 391 393 387 392
480000 391 392 386 393
485000 391 391 384 393
490000 391 391 384 393
495000 391 392 385 393
500000 391 391 385 394
505000 391 391 385 394
510000 391 391 386 394
515000 392 391 387 395
520000 392 389 387 395
525000 392 391 387 395
530000 392 391 387 395
535000 392 389 388 395
540000 391 388 386 394
545000 391 389 386 394
550000 391 392 386 393
555000 391 392 387 393
560000 391 391 385 393
565000 391 390 387 393
570000 391 392 390 394
575000 391 392 391 394
580000 391 393 391 394
585000 392 392 390 394
590000 392 391 390 394
595000 393 393 390 394
600000 393 391 388 394
605000 393 392 388 392
610000 393 392 388 392
615000 393 393 388 392
620000 393 392 388 392
625000 393 393 388 392
630000 393 394 388 392
635000 393 393 388 392
640000 392 394 388 392
645000 393 393 387 392
650000 391 393 389 392
655000 392 393 388 392
660000 392 392 389 392
665000 391 392 388 392
670000 391 391 388 392
675000 391 393 387 393
680000 391 393 388 392
685000 392 393 387 392
690000 392 392 386 392
695000 390 392 387 391
700000 391 393 388 391
705000 392 394 388 392
710000 391 393 386 391
715000 391 394 387 391
720000 391 394 389 391
725000 391 395 389 393
730000 390 394 390 392
735000 390 394 388 391
740000 390 395 389 392
745000 390 394 389 393
750000 391 393 388 393
755000 391 394 387 394
760000 390 394 387 393
765000 389 393 387 391
770000 390 392 389 390
775000 388 391 389 390
780000 387 391 388 391
785000 388 391 385 390
790000 388 391 386 391
795000 388 391 386 391
800000 391 393 386 391
