# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 400 399 399
10000 400 400 398 395
15000 399 400 398 395
20000 399 400 398 396
25000 399 400 399 396
30000 398 400 399 395
35000 398 399 399 394
40000 398 399 399 395
45000 398 399 398 395
50000 398 399 399 396
55000 398 400 399 395
60000 398 400 399 397
65000 398 400 399 397
70000 397 400 398 397
75000 397 399 397 397
80000 397 399 399 395
85000 397 399 398 395
90000 398 399 397 395
95000 397 399 395 395
100000 397 397 394 395
105000 398 397 394 396
110000 397 399 394 394
115000 397 399 392 394
120000 397 397 392 394
125000 397 397 392 393
130000 396 397 392 394
135000 397 398 393 393
140000 397 398 393 394
145000 396 398 392 394
150000 397 398 393 394
155000 396 397 392 394
160000 395 398 392 395
165000 394 397 392 394
170000 393 397 393 394
175000 391 396 394 393
180000 392 395 395 395
185000 392 395 394 394
190000 392 395 395 395
195000 393 396 394 395
200000 394 397 393 394
205000 393 396 393 395
210000 392 397 392 395
215000 392 398 393 395
220000 392 397 392 395
225000 392 397 392 395
230000 392 397 394 396
235000 393 398 394 395
240000 393 398 393 395
245000 393 398 393 394
250000 391 398 392 394
255000 392 398 392 394
260000 393 398 392 393
265000 392 397 392 393
270000 393 396 392 392
275000 394 397 390 391
280000 394 397 390 391
285000 393 397 389 390
290000 392 396 390 390
295000 392 395 390 393
300000 392 395 390 392
305000 393 395 391 393
310000 391 395 390 392
315000 392 395 390 392
320000 391 396 389 391
325000 392 395 390 391
330000 392 394 390 390
335000 394 394 390 391
340000 394 396 390 390
345000 395 395 391 391
350000 395 395 390 391
355000 395 395 390 393
360000 393 395 388 392
365000 393 395 389 392
370000 392 395 389 392
375000 393 397 391 391
380000 393 396 391 391
385000 393 397 390 390
390000 393 397 390 390
395000 394 397 390 390
400000 394 397 389 389
405000 394 397 390 390
410000 394 397 389 391
415000 394 396 390 390
420000 394 396 389 390
425000 394 395 390 390
430000 393 397 390 390
435000 392 396 390 389
440000 392 396 391 389
445000 391 396 390 388
450000 391 396 391 387
455000 391 396 391 388
460000 391 396 392 386
465000 391 397 392 386
470000 391 396 391 387
475000 391 396 392 387
480000 391 397 392 388
485000 391 396 393 387
490000 390 396 394 386
495000 389 396 392 388
500000 390 396 392 387
505000 391 395 393 388
510000 389 395 394 389
515000 389 395 394 387
520000 388 396 394 388
525000 388 396 393 390
530000 387 397 394 388
535000 388 396 394 389
540000 387 397 393 391
545000 387 394 393 391
550000 387 396 393 391
555000 386 395 392 391
560000 387 394 392 391
565000 388 394 392 390
570000 388 394 392 389
575000 387 395 392 389
580000 389 395 392 388
585000 389 396 392 390
590000 387 396 392 389
595000 386 395 392 388
600000 387 396 391 388
605000 385 396 392 388
610000 385 394 392 388
615000 386 394 392 388
620000 388 394 392 388
625000 387 394 391 388
630000 387 394 391 387
635000 387 395 391 386
640000 387 394 391 386
645000 387 394 390 386
650000 387 394 392 387
655000 386 394 391 387
660000 387 394 391 387
665000 387 395 391 387
670000 387 394 391 387
675000 388 394 391 388
680000 388 394 391 388
685000 388 396 392 388
690000 388 394 393 389
695000 388 392 393 391
700000 389 393 392 389
705000 388 393 392 388
710000 389 393 391 389
715000 388 393 391 390
720000 388 394 390 389
725000 388 393 390 390
730000 388 394 390 389
735000 389 394 390 388
740000 388 394 391 389
745000 389 392 391 390
750000 389 391 391 390
755000 388 391 391 390
760000 388 391 391 390
765000 387 391 391 389
770000 388 393 392 389
775000 388 394 392 389
780000 388 394 392 390
785000 388 393 393 389
790000 390 393 391 390
795000 389 393 391 391
800000 389 394 392 391
