# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 400 400 400 399
10000 400 399 399 398
15000 400 400 399 398
20000 400 398 399 398
25000 400 399 399 398
30000 399 398 399 399
35000 399 397 398 398
40000 399 398 398 398
45000 399 399 398 398
50000 399 398 399 398
55000 399 398 399 398
60000 400 397 399 398
65000 400 397 398 398
70000 400 398 398 398
75000 400 398 398 398
80000 400 397 398 398
85000 400 397 398 398
90000 400 396 398 399
95000 400 397 398 398
100000 400 397 398 399
105000 399 396 397 398
110000 399 395 397 397
115000 399 394 398 398
120000 398 395 399 397
125000 398 395 398 398
130000 399 395 398 398
135000 399 395 397 397
140000 399 395 397 398
145000 398 395 397 398
150000 398 396 397 397
155000 398 396 396 397
160000 398 393 396 397
165000 399 393 396 396
170000 398 395 398 397
175000 397 394 398 396
180000 396 391 398 395
185000 397 392 396 396
190000 398 392 397 395
195000 398 392 398 395
200000 397 392 398 395
205000 397 391 396 394
210000 396 391 397 394
215000 396 391 397 395
220000 396 392 397 394
225000 396 391 396 393
230000 395 391 397 392
235000 395 391 396 392
240000 395 391 396 393
245000 395 391 395 393
250000 395 391 395 395
255000 395 391 395 394
260000 396 391 396 395
265000 396 392 396 394
270000 396 391 394 394
275000 397 391 394 394
280000 398 391 393 394
285000 398 390 395 394
290000 396 390 397 393
295000 397 390 397 393
300000 397 391 396 392
305000 396 392 395 393
310000 396 390 393 394
315000 396 390 394 392
320000 396 390 394 394
325000 396 391 394 393
330000 396 391 393 393
335000 396 391 392 394
340000 396 390 393 393
345000 396 390 393 393
350000 396 392 394 393
355000 396 392 394 393
360000 396 391 395 393
365000 396 392 396 394
370000 396 392 395 394
375000 396 392 396 393
380000 396 392 396 393
385000 396 392 396 394
390000 395 391 396 394
395000 394 391 396 394
400000 396 391 394 394
405000 396 390 394 394
410000 396 392 394 395
415000 396 392 395 394
420000 396 391 392 393
425000 395 391 393 392
430000 396 389 394 392
435000 397 389 395 392
440000 394 390 392 393
445000 394 389 395 393
450000 395 390 393 393
455000 393 390 393 393
460000 393 390 392 393
465000 392 389 393 393
470000 392 391 392 392
475000 393 392 393 393
480000 393 391 392 393
485000 392 390 392 393
490000 392 389 391 393
495000 392 391 393 390
500000 392 392 393 393
505000 393 392 393 393
510000 392 391 394 391
515000 392 391 393 391
520000 393 390 393 391
525000 394 392 392 391
530000 393 391 392 390
535000 394 391 393 391
540000 394 392 393 391
545000 393 392 392 392
550000 393 391 392 392
555000 395 391 393 393
560000 393 391 393 392
565000 393 391 392 392
570000 394 390 393 392
575000 395 391 391 392
580000 395 390 391 391
585000 394 391 392 391
590000 396 391 394 392
595000 396 390 393 392
600000 396 390 393 392
605000 396 390 392 392
610000 396 391 391 392
615000 395 391 393 392
620000 395 391 393 392
625000 396 391 393 391
630000 396 392 390 391
635000 396 393 392 392
640000 396 393 391 393
645000 395 393 392 393
650000 395 393 391 392
655000 395 393 392 392
660000 395 393 392 392
665000 395 392 393 392
670000 394 392 392 391
675000 394 394 392 390
680000 393 392 393 390
685000 393 394 393 392
690000 394 393 392 393
695000 393 394 391 393
700000 392 392 391 391
705000 391 393 391 392
710000 392 393 391 391
715000 393 393 391 391
720000 394 392 391 392
725000 394 393 391 391
730000 394 393 391 391
735000 394 393 391 391
740000 395 395 391 392
745000 395 394 391 394
750000 394 394 390 394
755000 394 394 390 392
760000 393 394 390 392
765000 393 393 391 391
770000 393 394 389 391
775000 393 394 389 389
780000 393 394 389 390
785000 394 394 390 391
790000 394 395 390 392
795000 393 394 389 391
800000 392 395 389 391
