# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 400 399 400
10000 398 400 399 399
15000 397 400 399 399
20000 398 400 398 399
25000 398 399 398 398
30000 398 399 398 398
35000 398 399 398 396
40000 397 399 397 396
45000 397 399 397 396
50000 398 399 398 397
55000 397 400 397 397
60000 397 399 396 396
65000 397 399 396 396
70000 397 399 396 396
75000 396 399 395 396
80000 396 399 394 396
85000 395 399 396 397
90000 394 398 397 397
95000 394 398 397 398
100000 392 398 397 398
105000 392 398 397 396
110000 392 398 397 395
115000 392 398 397 395
120000 394 398 398 395
125000 394 398 397 396
130000 393 398 397 396
135000 393 398 397 395
140000 394 399 397 394
145000 393 399 396 394
150000 393 399 397 394
155000 395 399 396 394
160000 395 399 397 394
165000 395 399 397 395
170000 395 399 397 395
175000 395 399 397 395
180000 395 399 397 396
185000 395 399 397 396
190000 393 399 396 395
195000 393 399 397 396
200000 393 399 397 396
205000 392 399 398 395
210000 392 398 398 395
215000 392 399 398 395
220000 392 398 398 395
225000 392 398 396 394
230000 392 397 396 395
235000 392 398 395 395
240000 392 399 395 395
245000 392 399 395 395
250000 392 398 395 395
255000 392 398 396 394
260000 391 397 396 395
265000 391 397 395 393
270000 391 396 395 393
275000 391 397 395 393
280000 391 397 395 393
285000 391 398 394 394
290000 391 398 393 393
295000 391 398 393 393
300000 391 398 394 393
305000 391 398 394 393
310000 391 398 395 392
315000 392 397 395 392
320000 391 397 395 392
325000 391 397 394 392
330000 391 397 394 392
335000 391 397 394 393
340000 391 397 394 392
345000 392 397 394 392
350000 392 398 393 392
355000 391 396 394 392
360000 391 396 394 393
365000 391 396 394 393
370000 391 396 393 393
375000 392 395 393 394
380000 391 396 393 394
385000 392 397 393 394
390000 392 395 393 395
395000 392 395 393 395
400000 391 396 393 394
405000 392 396 393 394
410000 392 395 392 394
415000 391 396 392 394
420000 391 395 392 394
425000 391 395 393 394
430000 392 397 393 394
435000 392 395 393 393
440000 392 398 392 392
445000 392 396 392 392
450000 392 393 391 392
455000 392 395 392 393
460000 390 395 393 392
465000 391 396 391 392
470000 391 396 391 393
475000 391 395 392 393
480000 392 394 392 393
485000 392 393 392 393
490000 392 395 392 393
495000 392 395 392 393
500000 392 396 391 393
505000 392 395 390 393
510000 392 394 390 393
515000 392 394 391 393
520000 392 394 390 393
525000 391 395 391 393
530000 391 395 391 393
535000 391 395 391 393
540000 391 395 390 393
545000 390 394 390 393
550000 390 394 388 393
555000 390 394 388 393
560000 390 393 389 392
565000 390 393 389 391
570000 390 394 388 391
575000 389 393 388 392
580000 390 392 389 392
585000 390 393 388 392
590000 391 392 389 392
595000 391 393 388 392
600000 391 393 390 392
605000 390 393 388 392
610000 390 393 389 392
615000 391 393 389 392
620000 391 392 389 390
625000 390 392 388 392
630000 388 392 387 392
635000 389 393 391 392
640000 390 393 390 391
645000 390 393 390 391
650000 390 393 390 392
655000 391 392 389 392
660000 391 393 389 392
665000 392 393 389 391
670000 390 392 387 390
675000 390 392 389 390
680000 389 392 388 390
685000 389 392 388 390
690000 389 392 390 391
695000 388 392 390 391
700000 389 392 390 390
705000 389 392 390 390
710000 388 392 389 390
715000 388 392 390 390
720000 388 392 389 391
725000 387 392 389 391
730000 388 392 388 390
735000 386 392 388 391
740000 387 391 388 391
745000 388 392 388 390
750000 388 392 387 392
755000 390 393 387 392
760000 390 394 386 392
765000 389 393 389 392
770000 389 393 388 392
775000 390 392 385 392
780000 390 392 387 391
785000 390 393 387 390
790000 391 393 388 390
795000 390 393 387 390
800000 390 393 388 390
805000 389 392 388 390
810000 389 392 388 390
815000 390 392 387 389
820000 390 390 387 389
825000 391 389 388 390
830000 391 389 387 390
835000 391 389 387 390
840000 391 389 387 391
845000 390 389 387 391
850000 391 389 387 392
855000 390 388 386 391
860000 391 388 386 391
865000 391 389 387 390
870000 392 388 388 389
875000 392 387 387 389
880000 392 388 389 389
885000 392 389 389 390
890000 392 388 389 389
895000 392 389 390 388
900000 392 388 390 388
905000 391 387 390 388
910000 392 387 390 388
915000 390 387 390 388
920000 390 387 389 388
925000 390 387 389 387
930000 390 388 390 387
935000 391 390 390 386
940000 391 388 390 388
945000 391 388 391 387
950000 391 388 390 388
955000 390 388 389 387
960000 390 389 388 388
965000 391 388 388 388
970000 389 388 388 390
975000 389 390 388 389
980000 390 390 389 388
985000 391 389 389 388
990000 391 389 389 388
995000 391 389 389 387
1000000 391 389 389 388
1005000 390 390 389 388
1010000 388 390 388 388
1015000 389 391 388 388
1020000 389 390 388 388
1025000 388 390 388 388
1030000 388 390 388 387
1035000 389 391 388 387
1040000 388 390 389 387
1045000 387 391 389 387
1050000 386 390 390 387
1055000 387 389 389 387
1060000 387 390 389 387
1065000 388 391 389 387
1070000 388 390 388 387
1075000 387 391 389 387
1080000 387 391 389 387
1085000 389 391 387 386
1090000 388 391 386 387
1095000 386 391 387 387
1100000 386 389 387 386
1105000 388 389 386 386
1110000 388 389 386 386
1115000 388 390 386 387
1120000 387 390 385 387
1125000 388 390 385 385
1130000 385 390 385 386
1135000 387 390 385 386
1140000 387 389 384 385
1145000 387 387 384 385
1150000 387 388 384 385
1155000 386 388 384 385
1160000 388 389 385 385
1165000 388 390 385 385
1170000 387 389 384 385
1175000 386 388 384 385
1180000 386 388 384 385
1185000 386 388 384 385
1190000 387 387 384 385
1195000 386 388 383 385
1200000 386 386 383 386
1205000 384 386 383 385
1210000 386 388 384 385
1215000 383 388 384 384
1220000 383 388 384 383
1225000 384 388 384 384
1230000 384 388 384 384
1235000 385 389 384 384
1240000 384 389 384 387
1245000 384 390 384 386
1250000 385 389 384 385
1255000 384 389 384 386
1260000 385 390 385 385
1265000 383 390 384 384
1270000 384 389 384 384
1275000 381 389 385 384
1280000 382 389 386 383
1285000 383 389 385 384
1290000 383 389 385 385
1295000 384 389 385 384
1300000 384 387 386 385
1305000 384 387 386 384
1310000 382 388 386 385
1315000 381 387 385 385
1320000 382 388 385 386
1325000 383 388 385 385
1330000 384 387 385 385
1335000 383 387 384 385
1340000 386 388 384 385
1345000 385 388 384 384
1350000 387 388 384 385
1355000 385 387 385 385
1360000 385 388 385 384
1365000 385 385 386 384
1370000 385 385 386 385
1375000 384 387 386 385
1380000 383 387 385 386
1385000 383 387 385 385
1390000 383 386 384 386
1395000 382 386 384 386
1400000 384 385 384 385
1405000 382 384 384 386
1410000 384 384 383 387
1415000 383 386 384 386
1420000 383 386 382 386
1425000 384 386 383 385
1430000 384 385 383 385
1435000 384 386 383 385
1440000 384 386 383 384
1445000 383 386 384 384
1450000 384 386 384 384
1455000 383 386 384 384
1460000 383 386 384 386
1465000 383 386 384 385
1470000 382 386 383 385
1475000 382 385 383 386
1480000 381 386 383 385
1485000 381 386 383 384
1490000 381 386 383 385
1495000 381 386 383 385
1500000 382 386 383 387
1505000 382 386 383 386
1510000 382 385 383 387
1515000 383 385 383 387
1520000 383 385 383 385
1525000 383 386 383 385
1530000 381 385 383 386
1535000 383 386 383 386
1540000 382 386 383 386
1545000 381 386 384 385
1550000 382 386 384 385
1555000 383 387 384 385
1560000 383 386 384 385
1565000 383 387 384 384
1570000 384 385 384 385
1575000 383 387 384 384
1580000 383 387 384 384
1585000 383 387 384 384
1590000 383 386 384 384
1595000 383 387 384 384
1600000 384 387 384 384
1605000 383 387 384 384
1610000 383 387 384 384
1615000 382 387 384 384
1620000 382 388 384 384
1625000 383 387 384 385
1630000 383 387 384 385
1635000 383 387 384 385
1640000 383 387 385 385
1645000 385 387 385 386
1650000 384 387 385 386
1655000 384 387 384 386
1660000 385 387 385 386
1665000 384 387 385 385
1670000 384 387 385 385
1675000 383 387 385 385
1680000 383 386 385 385
1685000 383 387 385 386
1690000 383 386 385 386
1695000 384 385 385 386
1700000 383 385 385 385
1705000 384 385 385 384
1710000 384 385 385 384
1715000 384 385 385 384
1720000 384 385 385 384
1725000 385 385 385 384
1730000 384 386 385 385
1735000 383 385 386 385
1740000 383 385 386 385
1745000 384 384 386 385
1750000 382 384 385 384
1755000 382 384 385 384
1760000 383 383 385 385
1765000 381 383 385 384
1770000 381 384 384 384
1775000 383 383 383 385
1780000 382 384 384 384
1785000 382 384 384 384
1790000 382 385 384 384
1795000 381 385 383 385
1800000 382 384 384 385
1805000 384 386 382 385
1810000 382 385 382 385
1815000 381 385 382 385
1820000 382 385 381 385
1825000 381 385 381 386
1830000 380 384 381 386
1835000 382 384 381 386
1840000 383 385 381 386
1845000 382 385 379 385
1850000 381 384 380 385
1855000 383 385 381 385
1860000 381 385 381 386
1865000 381 384 380 385
1870000 380 384 380 384
1875000 382 384 381 384
