# Time-averaged data for fix ave_n
# TimeStep v_nhl v_nal v_nhr v_nar
10000 389 397 392 396
20000 389 397 392 396
30000 389 397 392 396
40000 389 397 392 396
50000 389 397 392 396
60000 389 397 392 396
70000 389 397 392 396
80000 389 397 392 396
90000 389 397 392 396
100000 389 397 392 396
110000 389 397 392 396
120000 389 397 392 396
130000 389 397 392 396
140000 389 397 392 396
150000 389 397 392 396
160000 389 397 392 396
170000 389 397 392 396
180000 389 397 392 396
190000 389 397 392 396
200000 389 397 392 396
