# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 398 399 400 399
10000 398 400 400 399
15000 398 399 400 398
20000 398 399 398 398
25000 398 400 399 398
30000 398 399 399 398
35000 398 399 399 398
40000 398 399 397 397
45000 398 400 397 398
50000 397 398 397 398
55000 397 399 395 398
60000 397 399 395 397
65000 396 399 395 397
70000 396 399 395 397
75000 398 398 395 398
80000 398 398 395 397
85000 398 397 396 397
90000 398 398 394 396
95000 398 398 394 397
100000 397 397 393 396
105000 397 396 393 396
110000 396 396 395 396
115000 397 396 395 396
120000 396 397 396 396
125000 396 397 396 396
130000 396 398 397 395
135000 395 397 397 394
140000 396 396 396 394
145000 396 396 397 394
150000 397 396 397 394
155000 395 397 398 392
160000 397 397 396 393
165000 397 397 395 393
170000 397 396 394 392
175000 397 396 394 393
180000 398 396 394 393
185000 397 395 395 392
190000 397 394 394 392
195000 397 394 393 391
200000 397 394 393 392
205000 395 394 392 392
210000 396 394 392 392
215000 396 394 392 392
220000 397 395 391 392
225000 398 394 391 394
230000 398 395 392 394
235000 398 395 391 393
240000 397 395 392 393
245000 395 395 392 393
250000 395 395 391 392
255000 394 395 390 392
260000 393 395 390 392
265000 393 395 391 392
270000 395 395 391 392
275000 394 394 390 392
280000 395 394 392 392
285000 395 393 393 392
290000 396 394 392 392
295000 396 394 392 392
300000 397 396 392 391
305000 397 396 392 391
310000 397 396 392 391
315000 396 395 390 390
320000 395 393 390 392
325000 395 394 390 391
330000 395 394 389 391
335000 395 394 389 390
340000 395 395 388 392
345000 393 395 389 391
350000 392 394 389 391
355000 393 394 390 391
360000 394 395 390 390
365000 392 396 391 390
370000 391 395 389 390
375000 391 395 389 389
380000 392 395 391 390
385000 393 395 391 390
390000 391 395 391 390
395000 391 395 390 389
400000 391 395 390 389
405000 391 395 390 390
410000 392 396 389 391
415000 391 396 389 390
420000 390 396 391 391
425000 390 396 390 391
430000 391 396 392 390
435000 389 396 391 389
440000 391 397 393 388
445000 390 397 392 389
450000 392 397 391 390
455000 392 397 392 389
460000 392 396 390 388
465000 391 396 391 388
470000 392 397 392 388
475000 389 397 394 389
480000 391 396 394 388
485000 389 397 393 389
490000 389 397 393 389
495000 390 397 394 389
500000 389 396 393 389
505000 391 396 390 389
510000 390 397 390 389
515000 389 397 389 388
520000 388 397 390 388
525000 389 397 388 388
530000 389 396 390 387
535000 389 397 391 389
540000 387 397 392 389
545000 388 397 391 389
550000 388 397 392 391
555000 388 397 391 390
560000 388 397 391 390
565000 389 396 391 390
570000 389 396 391 389
575000 390 396 391 390
580000 389 396 391 390
585000 389 396 390 390
590000 389 396 390 388
595000 389 396 389 388
600000 390 396 390 389
605000 390 396 389 388
610000 389 396 389 389
615000 390 395 388 387
620000 390 395 388 388
625000 390 395 389 387
630000 390 396 389 386
635000 390 396 389 388
640000 390 396 390 388
645000 390 396 390 388
650000 389 396 391 387
655000 390 396 392 388
660000 390 396 391 386
665000 390 396 391 387
670000 390 396 392 387
675000 390 395 393 387
680000 390 395 392 387
685000 390 395 392 388
690000 390 396 392 387
695000 390 396 391 386
700000 390 395 390 385
705000 390 395 392 387
710000 390 395 391 387
715000 390 395 390 386
720000 390 394 391 387
725000 391 394 391 388
730000 391 393 391 388
735000 388 393 390 388
740000 388 393 390 388
745000 389 393 391 388
750000 388 393 391 388
755000 388 393 389 388
760000 387 393 391 388
765000 389 392 388 388
770000 389 392 388 388
775000 388 392 390 388
780000 387 392 390 388
785000 387 392 391 389
790000 388 391 391 389
795000 388 391 389 389
800000 388 391 390 389
