# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 400 399 400
10000 400 400 398 400
15000 400 400 399 400
20000 399 400 399 400
25000 397 400 399 400
30000 399 399 400 400
35000 399 399 399 400
40000 399 398 399 400
45000 398 398 400 400
50000 399 398 398 400
55000 398 398 398 399
60000 398 398 398 399
65000 398 398 399 398
70000 398 398 398 399
75000 398 397 398 399
80000 398 397 398 399
85000 398 397 398 399
90000 398 398 398 399
95000 398 398 398 398
100000 398 397 398 399
105000 398 396 398 399
110000 398 396 398 398
115000 398 396 398 398
120000 398 396 397 398
125000 398 396 396 398
130000 398 396 397 398
135000 397 396 397 398
140000 397 396 397 398
145000 397 395 397 397
150000 397 396 397 397
155000 397 396 397 398
160000 397 396 397 397
165000 397 396 396 398
170000 397 396 396 398
175000 397 397 396 398
180000 397 398 396 398
185000 397 399 394 398
190000 397 398 395 398
195000 397 398 395 398
200000 397 398 396 399
205000 397 399 396 399
210000 397 399 397 399
215000 397 399 398 399
220000 397 399 397 398
225000 397 398 396 397
230000 396 396 396 397
235000 396 397 395 397
240000 397 397 396 397
245000 397 396 397 396
250000 396 396 395 396
255000 397 396 395 396
260000 396 396 395 396
265000 396 397 396 396
270000 396 394 396 396
275000 396 394 395 396
280000 396 394 395 396
285000 395 394 395 396
290000 395 395 395 396
295000 395 394 395 396
300000 395 394 394 396
305000 395 395 394 395
310000 395 396 392 394
315000 395 396 392 395
320000 395 395 392 394
325000 394 395 393 394
330000 394 395 394 394
335000 394 396 395 394
340000 393 394 393 394
345000 393 395 393 394
350000 393 395 394 394
355000 393 395 395 394
360000 393 395 395 395
365000 393 395 395 394
370000 393 395 394 394
375000 393 394 394 395
380000 393 396 393 395
385000 392 395 393 395
390000 393 395 393 395
395000 393 394 395 395
400000 392 394 394 395
405000 392 394 394 395
410000 393 395 392 395
415000 393 395 393 395
420000 393 394 394 395
425000 393 394 393 393
430000 393 394 393 393
435000 392 394 393 392
440000 393 393 392 392
445000 392 394 391 392
450000 392 394 390 393
455000 391 394 391 393
460000 391 395 390 393
465000 391 395 390 394
470000 391 395 390 394
475000 391 394 389 394
480000 391 393 389 394
485000 391 391 389 394
490000 391 390 390 395
495000 391 393 390 394
500000 391 393 391 394
505000 391 392 391 394
510000 392 392 390 394
515000 392 391 391 394
520000 393 390 391 394
525000 393 392 391 394
530000 393 392 391 394
535000 392 392 390 394
540000 392 392 389 394
545000 392 392 390 394
550000 392 392 389 394
555000 392 392 389 394
560000 392 393 389 394
565000 392 392 389 394
570000 392 393 389 394
575000 393 392 388 393
580000 393 395 388 393
585000 392 395 389 393
590000 392 394 389 393
595000 392 394 388 393
600000 392 393 387 393
605000 392 393 387 393
610000 392 394 387 393
615000 392 393 389 393
620000 393 394 388 393
625000 393 394 389 392
630000 392 394 389 392
635000 393 394 389 394
640000 392 394 390 393
645000 393 394 392 392
650000 392 394 391 394
655000 392 394 390 393
660000 392 394 389 393
665000 391 394 390 393
670000 391 394 391 394
675000 390 394 394 393
680000 390 394 394 393
685000 390 393 393 393
690000 390 394 393 393
695000 390 394 393 393
700000 390 393 393 393
705000 390 392 394 393
710000 389 392 394 393
715000 390 391 392 393
720000 390 391 391 393
725000 391 393 392 392
730000 391 393 393 393
735000 392 393 393 393
740000 391 393 393 393
745000 390 393 393 393
750000 390 393 393 393
755000 390 393 393 393
760000 390 393 394 393
765000 389 392 393 393
770000 390 393 393 393
775000 389 393 393 394
780000 391 393 393 393
785000 391 393 393 393
790000 390 393 393 392
795000 390 394 392 393
800000 390 394 394 393
