# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 400 400 399
10000 400 400 398 399
15000 399 400 398 399
20000 399 399 399 399
25000 398 400 397 397
30000 399 400 397 398
35000 399 399 396 398
40000 397 398 397 399
45000 397 398 397 399
50000 397 398 398 399
55000 398 397 397 399
60000 398 397 398 397
65000 398 397 398 397
70000 398 396 397 398
75000 399 397 397 397
80000 399 396 397 398
85000 398 398 398 396
90000 398 396 398 398
95000 398 396 397 398
100000 398 397 396 398
105000 398 396 397 397
110000 399 394 397 397
115000 398 394 397 397
120000 399 394 397 397
125000 398 393 397 397
130000 398 393 396 398
135000 396 392 397 397
140000 398 392 396 397
145000 398 394 396 396
150000 397 393 396 396
155000 396 393 395 396
160000 396 393 396 396
165000 396 393 396 397
170000 395 394 397 397
175000 395 394 396 396
180000 395 393 397 396
185000 395 394 395 396
190000 396 394 396 395
195000 395 394 395 395
200000 395 394 394 395
205000 395 394 394 394
210000 395 394 395 395
215000 395 394 395 394
220000 394 394 396 396
225000 396 394 396 396
230000 395 394 393 396
235000 394 394 392 397
240000 394 394 391 396
245000 394 394 391 395
250000 394 395 391 395
255000 393 395 391 394
260000 393 395 390 396
265000 395 394 391 394
270000 396 394 390 396
275000 396 394 391 395
280000 394 394 392 394
285000 394 394 393 395
290000 395 394 393 396
295000 395 394 390 397
300000 396 393 391 396
305000 397 393 391 396
310000 397 391 391 396
315000 396 392 391 396
320000 396 392 391 397
325000 396 391 391 397
330000 395 391 391 397
335000 395 392 392 397
340000 395 392 391 397
345000 395 391 391 397
350000 395 391 392 396
355000 395 390 393 395
360000 394 392 393 395
365000 395 390 393 395
370000 395 391 393 394
375000 394 391 393 394
380000 394 390 393 395
385000 395 389 393 395
390000 395 389 393 394
395000 395 389 393 394
400000 396 388 393 393
405000 396 389 392 394
410000 395 390 392 393
415000 398 392 392 393
420000 398 392 393 395
425000 398 391 392 395
430000 398 390 392 395
435000 398 390 392 393
440000 398 390 392 392
445000 397 391 391 393
450000 397 390 391 393
455000 397 389 391 395
460000 397 389 392 394
465000 398 390 391 393
470000 398 390 391 393
475000 398 390 391 393
480000 398 390 391 394
485000 398 391 391 393
490000 397 390 390 393
495000 397 391 391 395
500000 397 391 390 395
505000 397 390 390 394
510000 397 391 391 395
515000 397 390 391 394
520000 397 390 392 394
525000 398 390 392 394
530000 398 390 390 394
535000 398 391 390 394
540000 398 391 390 394
545000 398 391 392 394
550000 397 391 393 395
555000 398 391 393 396
560000 398 391 393 397
565000 398 391 393 395
570000 396 391 391 396
575000 396 391 392 395
580000 396 392 391 397
585000 396 392 390 397
590000 395 392 390 396
595000 395 389 390 395
600000 394 389 391 395
605000 394 388 390 394
610000 394 386 389 395
615000 394 388 388 394
620000 393 386 389 393
625000 393 387 388 394
630000 393 388 388 395
635000 393 388 390 396
640000 393 389 390 394
645000 394 387 391 395
650000 394 387 387 394
655000 394 389 385 395
660000 395 388 386 395
665000 395 388 386 394
670000 395 387 388 394
675000 395 386 389 394
680000 395 387 389 394
685000 395 386 388 394
690000 395 387 387 395
695000 393 384 388 394
700000 394 386 388 394
705000 395 385 389 393
710000 393 386 389 393
715000 394 385 388 392
720000 393 385 387 392
725000 393 386 390 392
730000 392 386 390 392
735000 393 386 390 392
740000 393 386 390 392
745000 394 386 390 391
750000 394 386 391 391
755000 395 386 389 392
760000 394 386 388 392
765000 394 386 387 392
770000 394 386 389 391
775000 394 386 388 390
780000 395 385 388 389
785000 394 386 388 389
790000 394 388 387 389
795000 393 386 387 389
800000 393 385 387 389
