# Time-averaged data for fix ave_n
# TimeStep v_n_na_l v_n_cl_l v_n_na_r v_n_cl_r
5000 399 399 399 400
10000 399 398 399 399
15000 399 398 399 399
20000 399 398 398 399
25000 399 399 398 399
30000 398 398 398 397
35000 398 397 398 397
40000 398 397 398 396
45000 398 398 398 397
50000 398 397 398 395
55000 398 397 398 395
60000 398 397 398 396
65000 398 397 398 395
70000 398 397 398 395
75000 398 398 397 396
80000 398 397 398 396
85000 398 397 398 396
90000 397 398 398 395
95000 396 397 398 395
100000 396 397 398 395
105000 397 396 398 395
110000 397 396 397 395
115000 396 396 397 395
120000 396 396 398 395
125000 396 396 397 396
130000 396 396 397 396
135000 395 396 397 396
140000 396 396 397 396
145000 396 395 397 396
150000 396 395 397 396
155000 396 396 397 395
160000 396 395 398 396
165000 397 394 398 396
170000 397 394 397 396
175000 397 395 396 396
180000 397 393 397 396
185000 397 393 397 396
190000 397 394 397 395
195000 397 394 397 396
200000 397 396 397 394
205000 397 395 397 396
210000 397 395 397 396
215000 397 396 397 396
220000 397 395 397 395
225000 397 394 397 395
230000 397 394 396 393
235000 397 395 396 394
240000 397 394 396 393
245000 397 393 395 395
250000 396 393 393 395
255000 397 392 393 395
260000 397 393 393 395
265000 396 393 393 395
270000 397 392 392 395
275000 397 392 395 395
280000 397 393 395 394
285000 396 392 394 394
290000 395 391 393 393
295000 395 391 395 394
300000 395 391 393 394
305000 396 391 394 394
310000 395 390 393 394
315000 397 391 393 394
320000 396 392 393 393
325000 396 392 394 394
330000 397 394 395 394
335000 397 393 395 394
340000 397 393 395 394
345000 397 392 393 394
350000 397 393 394 394
355000 397 393 394 393
360000 396 393 394 393
365000 397 393 394 394
370000 397 392 394 394
375000 397 393 394 394
380000 397 393 394 394
385000 397 393 392 394
390000 397 392 390 394
395000 397 392 390 394
400000 397 392 390 394
405000 397 391 389 394
410000 397 392 390 394
415000 398 392 389 394
420000 398 391 389 394
425000 397 391 389 394
430000 397 391 391 394
435000 398 393 392 394
440000 398 392 391 394
445000 398 392 391 394
450000 399 390 393 394
455000 399 391 394 394
460000 398 391 392 394
465000 399 391 392 394
470000 399 391 392 394
475000 399 391 392 394
480000 399 391 391 394
485000 398 391 393 394
490000 399 390 393 393
495000 399 389 393 393
500000 399 389 393 393
505000 399 390 393 393
510000 399 390 393 393
515000 399 390 394 393
520000 400 390 394 394
525000 399 390 394 394
530000 400 391 394 393
535000 400 391 395 393
540000 400 390 395 392
545000 400 389 395 392
550000 400 390 393 392
555000 400 391 393 392
560000 400 389 393 393
565000 400 390 393 393
570000 400 391 392 393
575000 400 391 392 393
580000 400 391 391 393
585000 400 391 391 392
590000 400 391 392 392
595000 400 391 390 391
600000 400 391 391 391
605000 399 391 392 391
610000 399 391 391 391
615000 399 390 393 390
620000 400 391 393 390
625000 400 390 394 391
630000 400 390 390 391
635000 400 391 393 391
640000 400 390 391 391
645000 400 391 391 391
650000 400 391 389 391
655000 400 390 389 391
660000 400 392 389 391
665000 400 391 391 391
670000 400 391 392 391
675000 400 391 392 391
680000 400 390 393 391
685000 400 391 392 391
690000 399 390 393 391
695000 399 390 393 391
700000 400 390 393 391
705000 400 390 392 391
710000 400 391 394 391
715000 400 392 394 391
720000 398 391 394 391
725000 399 391 394 391
730000 399 391 394 391
735000 400 391 394 391
740000 399 390 393 391
745000 399 391 393 390
750000 399 391 392 391
755000 399 391 391 391
760000 400 391 390 391
765000 398 390 392 391
770000 398 391 391 391
775000 398 391 391 391
780000 397 389 390 392
785000 397 389 392 392
790000 398 389 392 392
795000 398 388 392 392
800000 398 388 392 392
805000 398 389 392 391
810000 397 390 392 391
815000 396 390 392 392
820000 396 390 393 392
825000 396 390 393 392
830000 396 390 393 391
835000 396 390 393 390
840000 396 390 392 389
845000 396 390 393 388
850000 396 390 393 389
855000 397 389 394 389
860000 396 389 394 389
865000 397 390 393 389
870000 397 390 393 389
875000 397 390 393 388
880000 397 390 393 389
885000 397 390 393 389
890000 397 390 392 390
895000 397 391 391 390
900000 396 391 391 390
905000 397 390 392 391
910000 397 391 391 391
915000 397 391 390 392
920000 397 390 392 392
925000 397 389 392 391
930000 397 389 392 391
935000 397 389 391 390
940000 397 389 392 390
945000 397 389 391 390
950000 397 389 391 390
955000 397 389 391 392
960000 397 389 391 390
965000 397 389 391 390
970000 397 389 391 390
975000 396 389 391 390
980000 396 389 391 390
985000 395 389 391 390
990000 396 389 391 390
995000 395 388 390 390
1000000 396 388 390 390
1005000 395 388 390 390
1010000 395 388 391 390
1015000 395 388 390 390
1020000 394 388 391 390
1025000 394 388 391 390
1030000 393 388 390 390
1035000 393 388 390 390
1040000 395 388 389 389
1045000 394 388 389 389
1050000 394 388 391 390
1055000 392 388 392 388
1060000 393 388 392 389
1065000 394 387 391 389
1070000 395 389 390 388
1075000 395 388 390 388
1080000 395 388 391 388
1085000 395 388 390 388
1090000 394 388 390 388
1095000 395 388 389 389
1100000 394 389 389 389
1105000 394 388 389 389
1110000 394 388 389 388
1115000 394 388 389 388
1120000 393 389 389 388
1125000 393 388 389 389
1130000 395 388 389 387
1135000 393 389 388 388
1140000 393 389 389 388
1145000 393 390 389 389
1150000 393 391 389 389
1155000 393 388 387 389
1160000 394 389 388 388
1165000 394 389 388 389
1170000 393 388 390 389
1175000 394 388 390 389
1180000 395 387 390 389
1185000 394 387 389 389
1190000 394 388 389 389
1195000 395 390 388 389
1200000 394 390 386 389
1205000 394 389 387 388
1210000 393 389 388 388
1215000 393 389 388 388
1220000 394 389 387 388
1225000 393 390 387 388
1230000 394 389 387 388
1235000 394 389 390 388
1240000 393 389 388 388
1245000 392 389 388 388
1250000 392 388 388 388
1255000 393 389 387 388
1260000 392 389 387 388
1265000 391 389 388 388
1270000 392 389 387 388
1275000 392 389 388 387
1280000 391 389 388 389
1285000 392 389 390 389
1290000 392 389 388 388
1295000 393 389 390 389
1300000 392 389 390 389
1305000 392 390 390 389
1310000 392 390 388 389
1315000 391 388 389 389
1320000 391 389 388 389
1325000 391 388 388 389
1330000 392 390 389 389
1335000 393 389 390 389
1340000 395 390 388 389
1345000 395 389 389 389
1350000 394 389 390 388
1355000 394 389 392 388
1360000 394 389 390 388
1365000 394 390 390 388
1370000 394 388 390 389
1375000 395 389 390 388
1380000 395 389 392 388
1385000 395 387 393 389
1390000 395 388 392 388
1395000 395 388 393 389
1400000 395 389 393 389
1405000 395 389 393 389
1410000 395 388 393 388
1415000 394 389 391 389
1420000 395 389 394 389
1425000 395 388 392 388
1430000 395 386 393 388
1435000 395 386 393 388
1440000 394 389 392 389
1445000 394 387 393 389
1450000 392 387 390 388
1455000 392 387 390 389
1460000 393 389 391 388
1465000 393 388 392 387
1470000 393 388 390 388
1475000 394 388 391 389
1480000 394 388 390 389
1485000 393 387 389 389
1490000 394 388 389 389
1495000 393 387 388 389
1500000 393 387 390 388
1505000 393 389 389 387
1510000 393 388 389 389
1515000 394 388 388 388
1520000 394 388 389 388
1525000 394 389 389 388
1530000 394 388 388 388
1535000 395 387 388 388
1540000 394 386 389 388
1545000 394 387 390 388
1550000 394 387 390 388
1555000 394 387 390 388
1560000 394 388 390 388
1565000 393 388 389 388
1570000 394 387 389 388
1575000 394 387 389 388
1580000 393 387 389 388
1585000 393 387 392 388
